subject,run,qDMN,qCEN,qPDA,qGLOBAL,fsnrPDA,betaPDA,r2PDA,fsnrCEN,betaCEN,r2CEN,resid_PDA,resid_CEN
dmnelf014,1,-2.329807808458476,-2.958264205400831,6.283207199950961,-5.5863228888564205,-8.723339270832488,0.3002721268834625,0.118300520952218,-5.729056343144951,0.7111039977320156,0.21095742016780233,0.11954656240377202,0.3364689552404888
dmnelf014,2,2.2831048908642835,5.029370968708563,0.07040856222324414,0.3438472293771278,-6.205097403377556,0.5448875162921771,0.19328939469536532,-9.928073302034313,0.339876651757133,0.09228713437422346,0.22044313640047328,0.20212643564002145
dmnelf014,3,3.801620779223191,1.1261382801319906,-0.4648331001983236,0.20857812736379633,-18.65696907677601,0.13458172934639198,0.013440834330590115,-15.199250361015702,-0.21365334572629704,0.029319153294144275,0.2365060429310362,0.26885465307006146
dmnelf014,4,-2.4208951193368184,-0.9322986341996944,-5.540953266433125,0.9148586302265667,-10.76401266613549,0.2309992826056967,0.07737882838129742,-7.819676026625673,-0.40510590015407805,0.1417844986760567,0.11318676665591412,0.17671681054200103
dmnelf015,1,2.607732499963204,6.5216409909961754,6.852160852277439,6.219881170131276,-7.259055994942324,0.543585670003632,0.15822969828224884,-6.965957427382547,0.5135011204765614,0.16742734810546106,0.2796499352670276,0.23326611634595648
dmnelf015,2,-0.5258816892656506,0.28610176193969794,2.2408366820241357,0.7411265844299446,-6.618143019737552,0.5554921219123256,0.17889032984790754,-8.11998591192735,0.39320904095282877,0.1335769189581031,0.25196675047625194,0.17840979981855576
dmnelf015,3,-0.2224041603701475,-1.3969648349534916,2.5230720394272192,1.761978613288671,-9.742434523558469,0.29775179014143754,0.095930831012594,-8.545932380639785,0.3729630277149402,0.12262821978541255,0.14863645532919145,0.1770508135145284
dmnelf015,4,2.2738984162915705,1.8522664434963823,4.967200703365645,0.8183895318878305,-9.416405435360915,0.3501055927195829,0.10264201900816827,-17.928699869514926,0.12966934980793707,0.015855821244050036,0.19063900616582038,0.18565975725611017
dmnelf016,1,-1.0466052624583664,3.2428779091638873,1.9186040450090758,3.529531981456521,-36.402164905690725,0.013377584057025545,0.00022892018029320742,-14.004555375978933,0.17400729074535595,0.0382479008854584,0.13904167550074997,0.1354451794578539
dmnelf016,2,3.8419017008862166,4.565660450598024,0.3940075827092059,7.265648898754561,-15.787552127332805,0.11600812979300743,0.02570025175353779,-18.712464195650437,0.11002787927224704,0.013272442057593432,0.09076223642213052,0.16011242270747092
dmnelf016,3,2.5614580155416866,7.159534105434351,-1.8526490423241952,4.8937838218301515,-15.587229939101775,0.12677810482624008,0.026880851672718968,-14.209955950234711,0.19339960101734946,0.036545638345806264,0.10351055317152168,0.17542030734112726
dmnelf016,4,1.8941526465597394,4.914593069434104,-0.26706414630762354,2.9795724358177007,-18.068599789852225,0.10522937875453786,0.015360915209675904,-19.202734364710405,-0.11324538319175771,0.011872428992378281,0.1262720167457742,0.18988365063473064
dmnelf1001,1,5.6670161154450005,0.4837395770442305,4.497459218146302,6.318591155724134,-29.002680216206755,-0.03200931998157214,0.0012565677658780102,-20.709634707631828,-0.10389240131678262,0.008421003507705985,0.14487519796306847,0.22610187539776036
dmnelf1001,2,0.16125671515682555,0.9899661441861316,2.0552778728298153,1.6187906720868495,-23.610648419676814,0.05743556508564051,0.004335589360593404,-20.44997496683957,0.09934329601125418,0.008935205644140626,0.13477202798181384,0.19473667545848256
dmnelf1001,3,1.3583110461826406,-0.2941960247607647,0.828922774599734,6.742722480116761,-17.582062468759595,-0.0985998995984164,0.017150654801198848,-8.104319253793314,-0.45992735368998217,0.1339949682201513,0.09911338693500811,0.2432111769662283
dmnelf1001,4,1.1510943023846918,3.1791894663766413,2.3168870961453707,6.371324129005744,-9.699151667832375,0.26658055526559915,0.09679867230407857,-24.823129813592573,0.056726966044409396,0.003282909598161447,0.11796284227343261,0.17380618199495065
dmnelf1002,1,0.2191247116673854,-1.2350404426504735,-1.3539750745976253,1.5391965286470648,-14.783615619754485,0.10241600854623098,0.03216902910084296,-21.08332409060615,0.10572709173617466,0.0077320835858901696,0.05613973769255665,0.2551984934571125
dmnelf1002,2,5.980453826014599,7.293121336914169,0.6060506123356484,8.625332620872793,-7.5662394738286745,0.26784105447942474,0.14903484777463405,-12.290235520654749,0.26677990237580196,0.055728012455059775,0.07287043542078331,0.21453734197333538
dmnelf1002,3,3.2257921845000097,1.273251425033328,-2.2248403049998977,4.307932931742865,-11.768656438895995,0.20221940613886835,0.06239560371482851,-14.515364784282834,0.21389953085160507,0.034148670761223,0.10931617573725785,0.23021269418257667
dmnelf1002,4,2.6997786914329147,-0.046615097659861424,-2.5167280743395986,2.0269279573434242,-8.783360319853244,0.1994716646954792,0.11686656881171718,-9.846867963912775,0.35829206824446036,0.093865474872351,0.05348987477031944,0.2204622875144434
dmnelf1003,1,0.1356817793645355,-2.7660300432533083,1.96549700242185,-4.120153290346476,-12.63132170896294,0.136672795546895,0.05173647946771183,-16.851224218723356,0.11299672372607422,0.020230266206027865,0.060907314507375396,0.11000875506207711
dmnelf1003,2,1.4038053528892833,1.2187662306377647,-0.510911799287416,-3.6073622497856994,-20.39027549742049,0.08105257080549745,0.009057759631657442,-10.398925484295765,0.2094991921143837,0.08359757530473212,0.10942801858897601,0.0732528710259967
dmnelf1003,3,2.0307876215702234,7.192521580864533,1.0480505337011154,10.199648186662388,-10.142856293825599,0.23811663710288247,0.08822692331482893,-9.378049927475494,0.2586914294264823,0.103458334948136,0.09858472306974804,0.09756938879968466
