subject,run,varrest_DMN,varfb_DMN,quench_DMN,quenchdb_DMN,varrest_CEN,varfb_CEN,quench_CEN,quenchdb_CEN,varrest_PDA,varfb_PDA,quench_PDA,quenchdb_PDA,grpquenchdb_DMN,grpnoisefb_DMN,grpquenchdb_CEN,grpnoisefb_CEN,grpquenchdb_ATTN,grpnoisefb_ATTN,grpquenchdb_VIS,grpnoisefb_VIS,grpquenchdb_WHOLE,glm_PDA_db,beta_PDA,beta_CEN,fsnr_quench_PDA_db
dmnelf010,3,0.13878218480358745,0.07605106625539793,0.06273111854818952,2.6122841281592635,0.11360988595496989,0.08097764046002962,0.032632245494940273,1.4705100581097477,0.13125860085590882,0.04907660675216108,0.08218199410374774,4.272532434415411,1.5296162007173288,0.8267650334281025,-0.10507664241844872,0.9332100820661456,-1.009939183063658,0.970460129988154,0.08341379995989791,0.938294727290558,0.04990374236531991,-13.10109037477371,0.15128670909338038,0.21757718852099542,2.6122841281592635
dmnelf010,4,0.24642507001445912,0.10999319436741319,0.13643187564704595,3.5031907382501144,0.0917442893671089,0.06872742013144777,0.02301686923566114,1.2544899925630462,0.1093250058043781,0.0651139642994003,0.04421104150497779,2.2504537199942893,0.3370240401764224,0.9789539750247102,-0.8516841514506971,1.0402985898917294,-1.7408668038160846,1.0608638504450423,-0.14160037721338237,0.988860968487304,-0.8765622569860863,-26.500305192837615,0.03054265846289746,-0.04958905153528079,3.5031907382501144
dmnelf011,1,0.39400943526204335,0.13887563628668623,0.25513379897535715,4.5288056014869635,0.4504316210517069,0.21248943299732587,0.23794218805438105,3.2629153345446067,0.029605797334583243,0.05658398964131432,-0.02697819230673108,-2.813168037030777,2.3930397007181727,0.84626930866283,1.1959812274405375,0.8986315515374326,3.5580989484513394,0.7611589365167611,-1.1125307309633623,0.9998021379491718,1.7954929296028974,-60.741239467957186,-0.0004892390334567997,-0.15459504601523066,4.5288056014869635
dmnelf011,2,0.4052365315688426,0.13192741592712237,0.2733091156417202,4.873735335994704,0.5736435041280461,0.13405025708107937,0.43959324704696673,6.313744288406737,0.11296113016784051,0.054308797849562496,0.058652332318278017,3.18058839224802,2.1242235577650237,0.8467741259519027,3.1738787809188107,0.7732615098154602,5.357254557108148,0.6545237511349434,1.7986293356028498,0.8604799356335043,3.8596706581186924,-15.07298640414132,0.11110174701490312,0.14715577937763966,4.873735335994704
dmnelf011,3,0.24226381924588192,0.05554928718219042,0.18671453206369149,6.396100691418659,0.3631163127249576,0.10611232329010335,0.25700398943485425,5.34279936345682,0.1602130476768617,0.04734191566294662,0.11287113201391508,5.294520545102231,3.106805815266783,0.8051595064808877,3.099980262343728,0.7926038538563159,4.026620705879515,0.7410957202155651,1.2517817475559558,0.9441208608648899,3.0771209903484102,-12.99435745316487,0.1445421255644813,0.2564775333829428,6.396100691418659
dmnelf011,4,0.18150295889601564,0.05443415565889657,0.12706880323711908,5.230122185179718,0.347180806689245,0.0755362427362117,0.27164456395303327,6.624003292257744,0.08768896345973841,0.0309054591019825,0.05678350435775591,4.529097370259908,0.5680884592852755,0.9373328194164374,0.9688624761129097,0.9225783726773263,1.9011816854169548,0.8588695464419142,1.8351528991682902,0.892707544291829,0.885555796587068,-15.220402886750943,0.08377193855990998,0.026665967966258503,5.230122185179718
dmnelf012,1,0.29970360418011033,0.10706505628557642,0.1926385478945339,4.4704421607254865,0.1558274332481885,0.10650701249919875,0.04932042074898976,1.652657141523553,0.16836577702964928,0.16317139619928028,0.005194380830368994,0.1360978935340251,-0.3976638683260128,1.0083221926973758,0.38467027166418055,0.9303758274630316,0.6885986795380953,0.906935469203804,1.0926134863043953,0.8487489360639747,0.4567260021055143,-8.917823420788846,0.35566726807878507,0.46608951073391536,4.4704421607254865
dmnelf012,2,0.3689954077397892,0.10774688585437145,0.2612485218854178,5.346162344124963,0.24258284225109114,0.15086224138802679,0.09172060086306436,2.062795243900018,0.10897962161210904,0.12975382136617772,-0.020774199754068676,-0.7577486141221166,0.7974397251282469,0.9356746512013032,-0.5415382234279211,1.026090259307449,-1.7337534517746274,1.0895077636044104,-1.1981462196363586,1.0684780568982273,-0.7626508826977199,-7.459446898550507,0.35978304935501454,0.42404231121666053,5.346162344124963
dmnelf012,3,0.3149195491372199,0.11489104783950048,0.20002850129771943,4.379134306540433,0.25163391477036146,0.11619338241554017,0.13544053235482129,3.3558777985403783,0.10958759800317759,0.09309677002680207,0.01649082797637552,0.7082679446269601,-0.18337903966305916,0.9882539552511895,1.0593648472356187,0.914937144692963,1.1372351889891223,0.9272314662987993,0.17247005721420453,0.993661634515235,0.5278106827011974,-9.8972757049404,0.24130224963143507,0.10106532247497585,4.379134306540433
dmnelf012,4,0.32520688108186024,0.08220804895145052,0.24299883213040974,5.972453851050333,0.28533783758958725,0.06412533483694471,0.22121250275264254,6.483297198135917,0.08754221533432734,0.10092227687741823,-0.01338006154309089,-0.6176950731667307,1.0039336073105474,0.9311529376823721,0.4098968198950563,0.9666269285784918,-0.24475996629725313,0.9739977436393386,-0.4740653340687273,0.9732557059148085,-0.07353320382837285,-12.249857522104284,0.17880765018277656,0.10893798085511007,5.972453851050333
