subject,run,fsnr_fb,fsnr_rest,dprime_fsnr,dprime_pda,betaPDA,smooth
dmnelf010,2,-0.057250541928627594,-0.664319576420402,0.45179838925762683,0.23946318117525514,-0.08498331862766281,0.9496881793152789
dmnelf010,3,0.27205258849390324,-1.2363615466046176,1.0923394395292894,1.7252540762943676,0.15128670909338038,0.9311223802640423
dmnelf010,4,0.07915556205901537,-0.4818127897665576,0.42051870993540136,0.399760392826422,0.03054265846289746,0.9316441399300092
dmnelf011,1,0.20847668990160798,-0.027585497099206404,0.28016453781467804,0.010720015867526257,-0.0004892390334567997,0.9640249943438136
dmnelf011,2,0.263956348848522,-0.24543267737565652,0.5114039484913716,1.1432280298578699,0.11110174701490312,0.9471351081547683
dmnelf011,3,0.39366373621330075,-0.8994285619592203,1.0905019395564084,1.4837858358992486,0.1445421255644813,0.960009505833533
dmnelf011,4,0.21757392473361062,0.015773322443743215,0.16010661464765968,0.36383082057269595,0.08377193855990998,0.9515610076353985
dmnelf012,1,0.9073726333965422,-1.1094064727494506,1.5152339631400564,2.2895523534468962,0.35566726807878507,0.9762625330210546
dmnelf012,2,1.2973518211732467,-1.438719050548593,1.6409678620157115,1.9588788358369549,0.35978304935501454,0.9515972602377559
dmnelf012,3,0.5976291913561554,-0.9009567999298518,1.695816653391474,2.0282493410346443,0.24130224963143507,0.9787448634887298
dmnelf012,4,0.5962362808303981,-0.5280188149169108,0.9776536512128265,1.04467956611137,0.17880765018277656,0.9508767033713765
dmnelf013,1,-0.2758017521115942,-0.010852407586986797,-0.19787097648911786,-0.09872179340351343,-0.026787140810837624,0.970375504411277
dmnelf013,2,0.25331763088222814,-0.18661470826503218,0.5027703137025338,-0.018227401639789108,-0.009968596850340574,0.9603392210207986
dmnelf013,3,-1.27401146057719,1.1795518522836745,-1.4757826100319373,-1.379174799074249,-0.061413495387474246,0.8589111145567352
dmnelf013,4,-0.7756310161021787,0.6479866056104101,-2.059380834469,-1.1462437386890607,-0.06471889785129457,0.9472041093148729
dmnelf014,1,1.2066308403563741,-0.7721448784949088,1.4968250814126056,2.2385673187927546,0.3002721268834625,0.9760931773052415
dmnelf014,2,1.2292017285336356,-1.516655157276035,1.8881130896066027,2.2042698188743413,0.5448875162921771,0.971348833672437
dmnelf014,3,0.7351439901637339,-1.2953208775680785,1.1200908737701556,1.164928593475889,0.13458172934639198,0.966503619055598
dmnelf014,4,0.3591267719611799,-1.58590958400055,2.608135224659524,2.3449562176738263,0.2309992826056967,0.9348966099776249
dmnelf015,1,0.9418041603339249,-1.2387275654911218,1.4019102694626029,1.8724063074844908,0.543585670003632,0.9724597922955838
dmnelf015,2,1.3842876924247094,-0.8366049765144934,1.138329582359068,2.260651034770288,0.5554921219123256,0.9606267260293304
dmnelf015,3,0.8558455769681905,-0.6688702037447684,1.2630940157056565,1.2003392557297363,0.29775179014143754,0.9481062848879455
dmnelf015,4,0.191236404400313,-0.9125133066675502,0.7029627509913595,1.2833669453082623,0.3501055927195829,0.9514265604667416
dmnelf016,1,0.12442866382212103,-0.7761384267088871,0.8426812237812861,0.7417939489573805,0.013377584057025545,0.9598544719141492
dmnelf016,2,0.1017103913855505,-0.7151491085293332,0.9543324218460765,1.1419186022114636,0.11600812979300743,0.9706677265590065
dmnelf016,3,0.2872183112624543,-1.272469335689171,1.5477717021677635,1.6971057752047678,0.12677810482624008,0.9310221099740267
dmnelf016,4,0.4029324983613367,-0.7703330485253085,1.0114659843318419,1.110832576024713,0.10522937875453786,0.9549529234470923
