subject,target,resolution,method,best_ch,mean_r,mean_nmse
dmnelf006,VIS,tr,HRF,CP1,0.0821076660475736,1.1413164811402925
dmnelf006,VIS,tr,TA,Oz,-0.128687253130531,1.0225381711744654
dmnelf006,DMN,hz4,EFP,O1,0.3391482389222138,0.9369269134677684
dmnelf006,DMN,hz4,HRF,P4,0.1131269871432074,1.0568371408741324
dmnelf006,DMN,hz4,TA,O2,0.0424409578020655,1.0144108117265012
dmnelf006,CEN,hz4,EFP,Cz,-0.0659521445699689,1.1932834165629735
dmnelf006,CEN,hz4,HRF,FC1,-0.003548428363827,1.037401234590046
dmnelf006,CEN,hz4,TA,P4,0.0195478211577524,1.013983474424489
dmnelf006,PDA,hz4,EFP,O1,0.1650233885224305,1.1966850262995328
dmnelf006,PDA,hz4,HRF,FC2,0.1084109190510828,1.0248061341608612
dmnelf006,PDA,hz4,TA,P3,0.1208252818845282,0.9871620488469558
dmnelf006,GSR_DMN,hz4,EFP,O1,0.1206628082509928,1.2077473382591215
dmnelf006,GSR_DMN,hz4,HRF,F7,-0.0269270084950239,1.081527778248601
dmnelf006,GSR_DMN,hz4,TA,Oz,-0.1136012045005733,1.0070018014461466
dmnelf006,GSR_CEN,hz4,EFP,FC2,0.0720449825124058,1.079707809248962
dmnelf006,GSR_CEN,hz4,HRF,CP2,0.0513610060148309,1.0213279139501206
dmnelf006,GSR_CEN,hz4,TA,P3,-0.0110065105475878,1.0054791818637348
dmnelf006,GSR_PDA,hz4,EFP,O2,0.0905739780198246,1.1257924796462295
dmnelf006,GSR_PDA,hz4,HRF,FC2,0.0554994920449686,1.037618068218371
dmnelf006,GSR_PDA,hz4,TA,P3,0.0583040745999776,1.0001026908371196
dmnelf006,VIS,hz4,EFP,Cz,0.0315911700596038,1.0834871874251804
dmnelf006,VIS,hz4,HRF,C3,-0.0113655142144698,1.0595155460227184
dmnelf006,VIS,hz4,TA,O1,-0.1633792128461278,1.025565785633718
dmnelf007,DMN,tr,EFP,O2,0.1402880282088974,1.0537907939001507
dmnelf007,DMN,tr,HRF,F8,0.0480365873836523,1.1696146845958129
dmnelf007,DMN,tr,TA,Pz,0.2329935286303895,0.9495294742522522
dmnelf007,CEN,tr,EFP,T7,0.4415464134483042,0.8115274687358026
dmnelf007,CEN,tr,HRF,Cz,0.3635032752507258,0.9476778087028584
dmnelf007,CEN,tr,TA,O2,-0.1019410034465761,1.0058096448742515
dmnelf007,PDA,tr,EFP,CP1,0.23394080338521,1.0133992013595687
dmnelf007,PDA,tr,HRF,O1,0.0286452465426836,1.312669096317858
dmnelf007,PDA,tr,TA,Oz,0.2582840688410459,0.9388573836366308
dmnelf007,GSR_DMN,tr,EFP,CP1,-0.1403043505397883,1.3380190032439572
dmnelf007,GSR_DMN,tr,HRF,TP10,-0.0783376294186133,1.3770384847865864
dmnelf007,GSR_DMN,tr,TA,Pz,-0.0518431526265364,1.0468709353039598
dmnelf007,GSR_CEN,tr,EFP,Pz,0.1313088554076254,1.0989484215146306
