subject,target,electrode,EFP,HRF,TA
dmnelf011,PDA,Pz,0.13108636787898192,0.08556728177225388,-0.11124109717712789
dmnelf011,GSR_DMN,Cz,0.004876613739129677,-0.14248088723373134,-0.09226238534159965
dmnelf011,GSR_CEN,Pz,0.05383447629077143,-0.09783331456636883,-0.14355304428733892
dmnelf011,GSR_PDA,Pz,0.09545936466422704,-0.020924692745434525,-0.12796144768176998
dmnelf011,VIS,Oz,-0.09537629851804375,-0.04880735267364887,-0.054968090259875084
dmnelf012,DMN,O1,0.08070442600184313,0.2145832534638968,0.10170996883170123
dmnelf012,CEN,Cz,0.36418435155012024,0.3686903516640226,-0.1551997137571485
dmnelf012,PDA,Pz,0.4122222657132285,0.2562371554933174,-0.1695717160910435
dmnelf012,GSR_DMN,Cz,0.11955775798866826,-0.04573026936077444,-0.1222540013986918
dmnelf012,GSR_CEN,Pz,0.43391930185970434,0.1366640304145317,-0.2158383022399679
dmnelf012,GSR_PDA,Pz,0.4000683965113814,0.29436688148184253,-0.1901769610796339
dmnelf012,VIS,Oz,0.054692864493067525,0.05614418765247921,-0.14393269027330147
dmnelf013,DMN,O1,0.3021716517400855,-0.029290694261576603,-0.043684814485639135
dmnelf013,CEN,Cz,0.3475616051237402,0.09975228358773033,0.17023563487615417
dmnelf013,PDA,Pz,0.154368631559894,0.10081054439712946,0.13388226551121493
dmnelf013,GSR_DMN,Cz,-0.10285701052861687,-0.11456298146781523,-0.15557517218599415
dmnelf013,GSR_CEN,Pz,-0.3482840081878244,-0.18018932910540958,-0.2594150739009774
dmnelf013,GSR_PDA,Pz,0.16738680505128523,0.07181820429741044,0.14997114084722285
dmnelf013,VIS,Oz,-0.2695435963179148,-0.009050636238171792,-0.010618586991678534
dmnelf014,DMN,O1,0.18649472160911254,0.07225021178981333,0.16584434044925692
dmnelf014,CEN,Cz,0.05708588040617845,0.09603803776781956,-0.10384028703778836
dmnelf014,PDA,Pz,-0.040778003342376364,0.023565497655742538,0.09793461994187398
dmnelf014,GSR_DMN,Cz,0.23604191135155636,0.22609438514823316,-0.2607670500529421
dmnelf014,GSR_CEN,Pz,-0.35942629661802417,-0.31030456145118457,-0.36134371787280994
dmnelf014,GSR_PDA,Pz,-0.11802389286881264,-0.044372297712511714,0.0953562258690622
dmnelf014,VIS,Oz,-0.03453077922900324,0.03195242393562612,-0.0956446203817039
dmnelf015,DMN,O1,0.02170170925532952,0.06307298438971357,0.05722873145260361
dmnelf015,CEN,Cz,0.5040310125136486,0.46505410509412404,-0.11478472650526896
dmnelf015,PDA,Pz,0.45383529086375385,0.4759679046029898,0.2774810862315006
dmnelf015,GSR_DMN,Cz,0.33226772955083433,0.31154800465502064,-0.1204926701758113
dmnelf015,GSR_CEN,Pz,0.39013694617928124,0.2583158581200261,0.13170563941944718
dmnelf015,GSR_PDA,Pz,0.44280262569377943,0.41702228949826003,0.2573439652250489
dmnelf015,VIS,Oz,-0.16465443591685838,-0.07958854329540534,0.019284377910736342
dmnelf016,DMN,O1,0.2171198912996427,0.23440798626838988,-0.0019681585355242684
dmnelf016,CEN,Cz,-0.06308226158321226,0.30949358666241816,0.0578860999530762
dmnelf016,PDA,Pz,0.015597025598727415,0.06913936429332304,-0.14491594764236249
dmnelf016,GSR_DMN,Cz,-0.010432407904047675,0.11696658414670937,-0.14760289519229555
dmnelf016,GSR_CEN,Pz,0.009299317035414463,0.0069066704632320345,-0.09501126018063184
dmnelf016,GSR_PDA,Pz,0.026902914357765886,0.0850596909541323,-0.18810035402324393
dmnelf016,VIS,Oz,0.12945061175736508,0.1393499152556855,-0.1158937767234003
dmnelf1001,DMN,O1,0.10580014595733678,0.17811148944946575,0.30149053818210275
