subject,target,resolution,method,best_ch,mean_r,mean_nmse
dmnelf006,VIS,tr,HRF,Pz,0.0852668317716389,1.0858911168263357
dmnelf006,VIS,tr,TA,POz,-0.1074507429191388,1.0128286788390228
dmnelf006,DMN,hz4,EFP,FC1,0.2619584433003675,1.0569892738023046
dmnelf006,DMN,hz4,HRF,FC1,0.2039669520899333,1.0136439304616085
dmnelf006,DMN,hz4,TA,P3,0.1828269464551501,1.0070573670280778
dmnelf006,CEN,hz4,EFP,FC1,0.1146674824825394,1.1210149042024928
dmnelf006,CEN,hz4,HRF,FC1,0.1373869336200393,1.0134120202103132
dmnelf006,CEN,hz4,TA,O2,0.1438621089921837,1.0133847218534051
dmnelf006,PDA,hz4,EFP,Pz,0.2944153285729179,1.0254272917354803
dmnelf006,PDA,hz4,HRF,Pz,0.132138321757125,1.0157936650660653
dmnelf006,PDA,hz4,TA,P3,0.1656989130410903,0.9943550671794512
dmnelf006,GSR_DMN,hz4,EFP,FC1,0.0338394407573159,1.0991220563998945
dmnelf006,GSR_DMN,hz4,HRF,FC1,-0.0563848493611722,1.0801632022547991
dmnelf006,GSR_DMN,hz4,TA,O1,-0.0311551704415026,1.028465265750233
dmnelf006,GSR_CEN,hz4,EFP,P4,0.110019591792468,1.098821399288482
dmnelf006,GSR_CEN,hz4,HRF,P4,0.0741325424322891,1.0286494982391652
dmnelf006,GSR_CEN,hz4,TA,Pz,0.0506994943380926,1.0124359566241572
dmnelf006,GSR_PDA,hz4,EFP,FC1,0.1006468229953471,1.0327596647826285
dmnelf006,GSR_PDA,hz4,HRF,FC1,0.0386206527325859,1.0294928267509984
dmnelf006,GSR_PDA,hz4,TA,P3,0.1219721263594603,1.000512354482528
dmnelf006,VIS,hz4,EFP,Cz,0.1943396309495796,1.0216411419156637
dmnelf006,VIS,hz4,HRF,Cz,-0.0720554580487019,1.0661561051457695
dmnelf006,VIS,hz4,TA,Oz,-0.0519034716047979,1.0177421072838644
dmnelf007,DMN,tr,EFP,O2,0.3794964005308527,0.9331638127574464
dmnelf007,DMN,tr,HRF,O2,0.201093082735466,1.0836676365012492
dmnelf007,DMN,tr,TA,Pz,0.2869722227948454,0.9733332286512368
dmnelf007,CEN,tr,EFP,O2,0.4247651205811469,0.9221469237229982
dmnelf007,CEN,tr,HRF,O2,0.2674662314677006,0.9884444627633392
dmnelf007,CEN,tr,TA,O2,-0.1231416222202428,1.0146232385913967
dmnelf007,PDA,tr,EFP,F8,0.2890648777845508,0.977336343184868
dmnelf007,PDA,tr,HRF,F8,0.1095564361820161,1.206757353505378
dmnelf007,PDA,tr,TA,O2,0.3305915333906857,0.9878140065505914
dmnelf007,GSR_DMN,tr,EFP,F8,0.2082329329924058,1.184282841010426
dmnelf007,GSR_DMN,tr,HRF,F8,0.0814045589136654,1.202531795335822
dmnelf007,GSR_DMN,tr,TA,POz,0.177043708534869,1.1488227065200207
dmnelf007,GSR_CEN,tr,EFP,FC6,0.2778493135815142,1.2731134156507422
dmnelf007,GSR_CEN,tr,HRF,FC6,0.1455459238263034,1.2295238164828337
dmnelf007,GSR_CEN,tr,TA,O2,0.324142674966886,1.0857351467390717
dmnelf007,GSR_PDA,tr,EFP,F8,0.2723529790772919,0.988009603840602
dmnelf007,GSR_PDA,tr,HRF,F8,0.1535792835075193,1.1638953655228126
dmnelf007,GSR_PDA,tr,TA,Pz,0.3408217945190975,0.970642686829021
dmnelf007,VIS,tr,EFP,O2,0.2951041598590085,0.951502958960394
dmnelf007,VIS,tr,HRF,O2,0.3014538056047448,0.9496286159869392
dmnelf007,VIS,tr,TA,P3,0.129888943126641,1.0167917055193223
dmnelf007,DMN,hz4,EFP,O2,0.36431345872484,0.9546562636102368
dmnelf007,DMN,hz4,HRF,O2,0.1908705741779109,1.002267477566768
