cohort,subject,run,nvox,denoise,smooth_tr,window,r_halfhalf,reliability,ceiling
rtbpd,rtbpd024,3,2000,gsr,5,full,0.9901142680401468,0.9950325807323674,0.9975131982747735
rtbpd,rtbpd024,4,2000,raw,1,fb,0.9757196079476216,0.9877106083501389,0.9938363086294135
rtbpd,rtbpd024,4,2000,raw,1,full,0.977710873120213,0.9887298354968227,0.9943489505685731
rtbpd,rtbpd024,4,2000,raw,3,fb,0.9880964330798565,0.9940125807168704,0.997001795744055
rtbpd,rtbpd024,4,2000,raw,3,full,0.9895290129136923,0.9947369518019881,0.9973650042998241
rtbpd,rtbpd024,4,2000,raw,5,fb,0.9900427841360536,0.9949964815111906,0.9974951035023634
rtbpd,rtbpd024,4,2000,raw,5,full,0.9902496354974071,0.9951009339086471,0.9975474594768146
rtbpd,rtbpd024,4,2000,gsr,1,fb,0.9758666935574928,0.9877859642448571,0.9938742195292406
rtbpd,rtbpd024,4,2000,gsr,1,full,0.9779649030530583,0.9888597128731001,0.99441425616948
rtbpd,rtbpd024,4,2000,gsr,3,fb,0.9875905847681423,0.9937565536247973,0.9968733889641138
rtbpd,rtbpd024,4,2000,gsr,3,full,0.9892649710829012,0.9946035198562538,0.9972981098228623
rtbpd,rtbpd024,4,2000,gsr,5,fb,0.9899994141975348,0.9949745785194123,0.9974841244448015
rtbpd,rtbpd024,4,2000,gsr,5,full,0.9902666288092077,0.9951095139465731,0.9975517600338205
rtbpd,rtbpd024,5,2000,raw,1,fb,0.9714481705386229,0.9855173319349418,0.9927322559154316
rtbpd,rtbpd024,5,2000,raw,1,full,0.9768419750325228,0.9882853433607933,0.9941254163136527
rtbpd,rtbpd024,5,2000,raw,3,fb,0.9857993681413467,0.9928489090658011,0.9964180393117144
rtbpd,rtbpd024,5,2000,raw,3,full,0.9883107700514374,0.9941210246785213,0.9970561792991011
rtbpd,rtbpd024,5,2000,raw,5,fb,0.989348983406686,0.9946459788191238,0.997319396592247
rtbpd,rtbpd024,5,2000,raw,5,full,0.9908940779664819,0.9954262147171491,0.9977104864223635
rtbpd,rtbpd024,5,2000,gsr,1,fb,0.9733700706368892,0.9865053545914394,0.9932297592155802
rtbpd,rtbpd024,5,2000,gsr,1,full,0.9764833028122315,0.9881017476068187,0.9940330716866611
rtbpd,rtbpd024,5,2000,gsr,3,fb,0.985280586480964,0.9925857263606617,0.996285966156636
rtbpd,rtbpd024,5,2000,gsr,3,full,0.9874770643649025,0.9936990791694498,0.9968445611876757
rtbpd,rtbpd024,5,2000,gsr,5,fb,0.9899388399551323,0.9949439852909778,0.9974687891312579
rtbpd,rtbpd024,5,2000,gsr,5,full,0.9917528050491364,0.9958593280602107,0.9979275164360439
