session,target,subject,scheme,r
nf1,DMN,rtbpd013,cal1,0.13446070631674528
nf1,DMN,rtbpd013,dmnelf+cal1,-0.0043051290298210705
nf1,DMN,rtbpd013,within_loro,0.05700192431258438
nf1,DMN,rtbpd015,transfer,-0.06379856963411398
nf1,DMN,rtbpd015,cal1,-0.11995723181975072
nf1,DMN,rtbpd015,dmnelf+cal1,-0.06113224526466045
nf1,DMN,rtbpd015,within_loro,-0.06949241375742274
nf1,DMN,rtbpd018,transfer,0.04315954175769864
nf1,DMN,rtbpd018,cal1,-0.009062770254499674
nf1,DMN,rtbpd018,dmnelf+cal1,0.022566181907985736
nf1,DMN,rtbpd018,within_loro,0.06794047545282171
nf1,DMN,rtbpd020,transfer,0.07944823177111943
nf1,DMN,rtbpd020,cal1,0.14778869242628595
nf1,DMN,rtbpd020,dmnelf+cal1,0.0976911958099944
nf1,DMN,rtbpd020,within_loro,0.3155663026889625
nf1,DMN,rtbpd021,transfer,-0.012901194151312833
nf1,DMN,rtbpd021,cal1,0.0006279505176008393
nf1,DMN,rtbpd021,dmnelf+cal1,-0.007649774426269412
nf1,DMN,rtbpd021,within_loro,0.07258165140409192
nf1,DMN,rtbpd022,transfer,0.12741533373557806
nf1,DMN,rtbpd022,cal1,-0.00631176306941723
nf1,DMN,rtbpd022,dmnelf+cal1,0.037947649241869476
nf1,DMN,rtbpd022,within_loro,0.03213135491464598
nf1,DMN,rtbpd024,transfer,0.0827864864798202
nf1,DMN,rtbpd024,cal1,-0.010361263925053397
nf1,DMN,rtbpd024,dmnelf+cal1,0.025070218179269015
nf1,DMN,rtbpd024,within_loro,0.05358326728977259
nf1,DMN,rtbpd026,transfer,0.06314281562131552
nf1,DMN,rtbpd026,cal1,-0.05680432465021082
nf1,DMN,rtbpd026,dmnelf+cal1,0.021700465130362234
nf1,DMN,rtbpd026,within_loro,-0.0859917062683335
nf1,DMN,rtbpd030,transfer,0.12507339132935133
nf1,DMN,rtbpd030,cal1,0.11756361257391826
nf1,DMN,rtbpd030,dmnelf+cal1,0.16864849724646602
nf1,DMN,rtbpd030,within_loro,0.28980809416079373
nf1,DMN,rtbpd034,transfer,-0.0735350561670992
nf1,DMN,rtbpd034,cal1,0.013702503393637443
nf1,DMN,rtbpd034,dmnelf+cal1,-0.10667722413484236
nf1,DMN,rtbpd034,within_loro,0.07661695843054286
nf1,DMN,rtbpd038,transfer,0.10967286375386809
nf1,DMN,rtbpd038,cal1,0.014192627025974965
nf1,DMN,rtbpd038,dmnelf+cal1,0.14855492367822531
nf1,DMN,rtbpd038,within_loro,0.15065399615330496
nf1,DMN,rtbpd040,transfer,-0.0210771525942005
nf1,DMN,rtbpd040,cal1,-0.0709552309394473
nf1,DMN,rtbpd040,dmnelf+cal1,-0.03063862826969118
nf1,DMN,rtbpd040,within_loro,-0.04162416578965799
nf2,DMN,rtbpd002,transfer,-0.03811467095196052
nf2,DMN,rtbpd002,cal1,0.04524758481476562
nf2,DMN,rtbpd002,dmnelf+cal1,0.007162315785325742
nf2,DMN,rtbpd002,within_loro,0.05627604173646215
nf2,DMN,rtbpd003,transfer,0.051621599631907926
nf2,DMN,rtbpd003,cal1,0.012422875251358503
nf2,DMN,rtbpd003,dmnelf+cal1,0.07087214362770179
nf2,DMN,rtbpd003,within_loro,0.23472195037438484
nf2,DMN,rtbpd009,transfer,0.20052582409069844
nf2,DMN,rtbpd009,cal1,0.08539870205497875
nf2,DMN,rtbpd009,dmnelf+cal1,0.19165573055250432
nf2,DMN,rtbpd009,within_loro,0.24085292072762976
nf2,DMN,rtbpd010,transfer,-0.029353456385577653
nf2,DMN,rtbpd010,cal1,0.10206518323333508
nf2,DMN,rtbpd010,dmnelf+cal1,0.0007779353835663944
nf2,DMN,rtbpd010,within_loro,0.14944089781492512
nf2,DMN,rtbpd011,transfer,0.05797121466154409
nf2,DMN,rtbpd011,cal1,0.05880311417269535
nf2,DMN,rtbpd011,dmnelf+cal1,0.11486633502605689
nf2,DMN,rtbpd011,within_loro,0.12776735425430558
nf2,DMN,rtbpd015,transfer,0.0245705194039954
nf2,DMN,rtbpd015,cal1,-0.19970099813347766
nf2,DMN,rtbpd015,dmnelf+cal1,-0.005801685892361094
nf2,DMN,rtbpd015,within_loro,0.04524732139412316
nf2,DMN,rtbpd022,transfer,0.16304508916598365
nf2,DMN,rtbpd022,cal1,0.03173457500107167
nf2,DMN,rtbpd022,dmnelf+cal1,0.16151253463083592
nf2,DMN,rtbpd022,within_loro,-0.0263147241034907
nf2,DMN,rtbpd026,transfer,-0.043320898160346163
nf2,DMN,rtbpd026,cal1,0.02555673931927212
nf2,DMN,rtbpd026,dmnelf+cal1,-0.053517150815959175
nf2,DMN,rtbpd026,within_loro,0.010856423152582551
nf2,DMN,rtbpd027,transfer,0.008758682343416665
nf2,DMN,rtbpd027,cal1,0.028166286027068603
nf2,DMN,rtbpd027,dmnelf+cal1,0.02422294040842142
nf2,DMN,rtbpd027,within_loro,-0.01795001953440692
nf2,DMN,rtbpd028,transfer,0.08680583106827028
nf2,DMN,rtbpd028,cal1,0.13814640940013664
nf2,DMN,rtbpd028,dmnelf+cal1,0.13911349060628442
nf2,DMN,rtbpd028,within_loro,0.15140807341433105
nf2,DMN,rtbpd030,transfer,-0.005874332104075785
nf2,DMN,rtbpd030,cal1,0.030560929212691185
nf2,DMN,rtbpd030,dmnelf+cal1,0.07075050320562522
nf2,DMN,rtbpd030,within_loro,0.020705564043701927
