subject,target,ttype,mode,window,r,cohort
rtbpd012,CEN,clean,epoc,fb,0.1546733891804955,rtbpd
rtbpd012,DMN,clean,all,fb,0.1997354873626652,rtbpd
rtbpd012,DMN,clean,epoc,fb,0.1859706224900549,rtbpd
rtbpd012,PDA,clean,all,fb,0.0633363182929096,rtbpd
rtbpd012,PDA,clean,epoc,fb,0.0484843533171424,rtbpd
rtbpd013,CEN,clean,all,fb,0.0649631203123524,rtbpd
rtbpd013,CEN,clean,epoc,fb,0.0281233578769691,rtbpd
rtbpd013,DMN,clean,all,fb,0.0618310382257124,rtbpd
rtbpd013,DMN,clean,epoc,fb,0.0459712146015014,rtbpd
rtbpd013,PDA,clean,all,fb,0.0527507732173451,rtbpd
rtbpd013,PDA,clean,epoc,fb,0.0504780610453912,rtbpd
rtbpd015,CEN,clean,all,fb,0.0440066141515723,rtbpd
rtbpd015,CEN,clean,epoc,fb,-0.0040017462774407,rtbpd
rtbpd015,DMN,clean,all,fb,-0.0577706661604823,rtbpd
rtbpd015,DMN,clean,epoc,fb,-0.1024888818876817,rtbpd
rtbpd015,PDA,clean,all,fb,-0.0202434480037645,rtbpd
rtbpd015,PDA,clean,epoc,fb,-0.0539921303423817,rtbpd
rtbpd018,CEN,clean,all,fb,0.0466500699121035,rtbpd
rtbpd018,CEN,clean,epoc,fb,0.0311605108552473,rtbpd
rtbpd018,DMN,clean,all,fb,0.0610863916792982,rtbpd
rtbpd018,DMN,clean,epoc,fb,0.0399035254222752,rtbpd
rtbpd018,PDA,clean,all,fb,-0.0191300032158028,rtbpd
rtbpd018,PDA,clean,epoc,fb,-0.0361798361144115,rtbpd
rtbpd020,CEN,clean,all,fb,0.0669668727370997,rtbpd
rtbpd020,CEN,clean,epoc,fb,0.0602582709080588,rtbpd
rtbpd020,DMN,clean,all,fb,0.335624670828561,rtbpd
rtbpd020,DMN,clean,epoc,fb,0.2730544177701541,rtbpd
rtbpd020,PDA,clean,all,fb,0.3785400768544436,rtbpd
rtbpd020,PDA,clean,epoc,fb,0.3397010085584579,rtbpd
rtbpd021,CEN,clean,all,fb,-0.0543471020444423,rtbpd
rtbpd021,CEN,clean,epoc,fb,-0.0500069376388529,rtbpd
rtbpd021,DMN,clean,all,fb,0.0851152111160085,rtbpd
rtbpd021,DMN,clean,epoc,fb,0.0849402671538674,rtbpd
rtbpd021,PDA,clean,all,fb,-0.0799596405120539,rtbpd
rtbpd021,PDA,clean,epoc,fb,-0.0578352199371511,rtbpd
rtbpd022,CEN,clean,all,fb,0.0237127145474971,rtbpd
rtbpd022,CEN,clean,epoc,fb,0.0382897814740084,rtbpd
rtbpd022,DMN,clean,all,fb,0.0435104727800926,rtbpd
