session,target,subject,scheme,r
nf1,DMN,rtbpd030,dmnelf+cal1,0.18266048816601427
nf1,DMN,rtbpd030,within_loro,0.14925626222650692
nf1,DMN,rtbpd034,transfer,0.005649650816130267
nf1,DMN,rtbpd034,cal1,0.011344463811704814
nf1,DMN,rtbpd034,dmnelf+cal1,-0.03748179991105881
nf1,DMN,rtbpd034,within_loro,0.015503959112922204
nf1,DMN,rtbpd038,transfer,0.08745369554816294
nf1,DMN,rtbpd038,cal1,0.02199468812776627
nf1,DMN,rtbpd038,dmnelf+cal1,0.12433685358659824
nf1,DMN,rtbpd038,within_loro,0.20546552161759093
nf1,DMN,rtbpd040,transfer,-0.02686593719746047
nf1,DMN,rtbpd040,cal1,-0.020573988085110698
nf1,DMN,rtbpd040,dmnelf+cal1,0.016741076264067817
nf1,DMN,rtbpd040,within_loro,-0.01960954410281776
nf2,DMN,rtbpd002,transfer,0.032305383318893224
nf2,DMN,rtbpd002,cal1,0.005944408769897089
nf2,DMN,rtbpd002,dmnelf+cal1,0.035598577572872284
nf2,DMN,rtbpd002,within_loro,-0.031285809052943384
nf2,DMN,rtbpd003,transfer,0.14165553704124814
nf2,DMN,rtbpd003,cal1,-0.07062852640450411
nf2,DMN,rtbpd003,dmnelf+cal1,0.1699820543290014
nf2,DMN,rtbpd003,within_loro,0.04163189892586169
nf2,DMN,rtbpd009,transfer,0.1393071167788311
nf2,DMN,rtbpd009,cal1,0.010810964060801941
nf2,DMN,rtbpd009,dmnelf+cal1,0.1295613982350029
nf2,DMN,rtbpd009,within_loro,0.16608096883002607
nf2,DMN,rtbpd010,transfer,0.011028153847788597
nf2,DMN,rtbpd010,cal1,0.09060941984679946
nf2,DMN,rtbpd010,dmnelf+cal1,0.031742741532722434
nf2,DMN,rtbpd010,within_loro,0.1136917855479253
nf2,DMN,rtbpd011,transfer,-0.05750087381238196
nf2,DMN,rtbpd011,cal1,-0.02155180368742929
nf2,DMN,rtbpd011,dmnelf+cal1,-0.06601180447926693
nf2,DMN,rtbpd011,within_loro,-0.003914506167835452
nf2,DMN,rtbpd015,transfer,0.13967235166078956
nf2,DMN,rtbpd015,cal1,-0.133531347976365
nf2,DMN,rtbpd015,dmnelf+cal1,0.14590329008905062
nf2,DMN,rtbpd015,within_loro,0.12628376636024305
nf2,DMN,rtbpd022,transfer,0.06236003692559998
nf2,DMN,rtbpd022,cal1,-0.006445328431435382
nf2,DMN,rtbpd022,dmnelf+cal1,0.04491122119521452
nf2,DMN,rtbpd022,within_loro,-0.07632951855051123
nf2,DMN,rtbpd026,transfer,-0.019367548152202794
nf2,DMN,rtbpd026,cal1,0.013973578133110804
nf2,DMN,rtbpd026,dmnelf+cal1,-0.042591656562971716
nf2,DMN,rtbpd026,within_loro,-0.05743635256558631
nf2,DMN,rtbpd027,transfer,-0.02065512001066572
nf2,DMN,rtbpd027,cal1,0.03727710325431237
nf2,DMN,rtbpd027,dmnelf+cal1,-0.015119015657808217
nf2,DMN,rtbpd027,within_loro,-0.04980783384405168
nf2,DMN,rtbpd028,transfer,0.014073642531331507
nf2,DMN,rtbpd028,cal1,0.1152842046752575
nf2,DMN,rtbpd028,dmnelf+cal1,0.015268191586150524
nf2,DMN,rtbpd028,within_loro,0.038019887897169535
nf2,DMN,rtbpd030,transfer,0.06703492744740035
nf2,DMN,rtbpd030,cal1,0.010277238268576041
nf2,DMN,rtbpd030,dmnelf+cal1,0.08636408338661712
nf2,DMN,rtbpd030,within_loro,-0.0175075530767898
