session,target,mode,subject,r
nf1,PDA,best,rtbpd022,0.11037227482421569
nf1,PDA,all,rtbpd022,0.11546017257638863
nf1,PDA,best,rtbpd024,0.04175780098780819
nf1,PDA,all,rtbpd024,0.060004282418372544
nf1,PDA,best,rtbpd026,0.0017286069844318454
nf1,PDA,all,rtbpd026,0.03694524632431359
nf1,PDA,best,rtbpd030,-0.001579606004791912
nf1,PDA,all,rtbpd030,0.08537378573122945
nf1,PDA,best,rtbpd034,-0.03620633460346427
nf1,PDA,all,rtbpd034,-0.04746676217466646
nf1,PDA,best,rtbpd038,0.020013216982011056
nf1,PDA,all,rtbpd038,0.04059373588027053
nf1,PDA,best,rtbpd040,-0.026889153627791075
nf1,PDA,all,rtbpd040,-0.06116034997327813
nf2,PDA,best,rtbpd002,0.03680889783924855
nf2,PDA,all,rtbpd002,0.03720865906553665
nf2,PDA,best,rtbpd003,0.07936063169036994
nf2,PDA,all,rtbpd003,0.08071611399538466
nf2,PDA,best,rtbpd009,0.1149932734665044
nf2,PDA,all,rtbpd009,0.07181751206233217
nf2,PDA,best,rtbpd010,-0.04311552428581015
nf2,PDA,all,rtbpd010,0.04745440660423854
nf2,PDA,best,rtbpd011,-0.030514079748955605
nf2,PDA,all,rtbpd011,-0.06659635801246631
nf2,PDA,best,rtbpd015,-0.08440099153362458
nf2,PDA,all,rtbpd015,-0.09644889995115474
nf2,PDA,best,rtbpd022,0.06004442678908731
nf2,PDA,all,rtbpd022,0.17046062979340493
nf2,PDA,best,rtbpd026,-0.043176116173237314
nf2,PDA,all,rtbpd026,0.0563109629499492
nf2,PDA,best,rtbpd027,0.06656700883873953
nf2,PDA,all,rtbpd027,0.053409364028026936
nf2,PDA,best,rtbpd028,0.053817847251979425
nf2,PDA,all,rtbpd028,0.14477611400277413
nf2,PDA,best,rtbpd030,-0.01490758569013784
nf2,PDA,all,rtbpd030,0.029816257113344083
