subject,run,n_tr,DMN,CEN,PDA,GSR_DMN,GSR_CEN,GSR_PDA
dmnelf012,4,125,-0.18263370256738387,-0.16442364926358405,0.0331136619383453,-0.18553600311170756,-0.16550599566982147,0.03232065399806398
dmnelf013,1,125,-0.09569640138335461,-0.11916809179681437,-0.06699709860293149,-0.07100364877086683,-0.13235631688920102,-0.046790809496461326
dmnelf013,2,125,-0.23063945784522158,-0.15869814217161182,0.16687102880362828,-0.4064890163751091,-0.44338122533919566,0.14045334840526458
dmnelf013,3,125,0.15605137882277037,-0.02962053794224744,-0.33541086484570504,0.35366908589245216,0.3101603326922769,-0.32438201976224734
dmnelf013,4,125,-0.14181811615246623,-0.3459359958950504,-0.20328722288565257,0.1849143852309495,-0.02918969467570767,-0.1898644661446071
dmnelf014,1,125,-0.23642351966007807,-0.11550289861198686,0.13635198733927328,-0.230678484516277,0.03092202608862537,0.18697353988034146
dmnelf014,2,125,-0.17001424965601927,0.2740573222288868,0.3792970233820498,-0.12747193861391137,0.43384659643202844,0.4323640176164849
dmnelf014,3,125,-0.029232591751482816,-0.13893406393452823,-0.12010678149380638,0.0510073554003073,-0.03673124391292917,-0.08171313098536863
dmnelf014,4,125,0.022255934691489246,0.08292752947037825,0.07237191609388552,0.1528019579998136,0.2610105577023487,0.06158317940736802
dmnelf015,1,125,-0.13068947888699314,0.04039866002917928,0.1232075918540734,-0.1324621993661499,0.11035231936251214,0.13974467929954573
dmnelf015,2,125,0.04037835616101466,0.10583619815310527,0.05270635000598759,-0.08127188250187448,-0.034202103669545444,0.03575159309363638
dmnelf015,3,125,0.11819490969450855,0.20962769732752332,0.08971360790412643,0.041739995622658156,0.1794104637550668,0.09986896276915358
dmnelf015,4,125,-0.12398338368110445,-0.09967486186568979,0.03962444692218374,-0.018554994138284098,0.054606386849202354,0.05210114678575452
dmnelf016,1,125,0.0029918512784708313,0.21159569942524634,0.20948912626193675,-0.145850545097687,0.12918845837148674,0.24011617018469944
dmnelf016,2,125,0.07158753481670911,0.01650089599366035,-0.079826515983776,0.16648640746222174,0.08759392534553449,-0.08499330299985379
dmnelf016,3,125,0.06172051524255593,0.12137939026817302,0.0677449715046551,0.12859960682009677,0.22300448021739147,0.06493684493349901
dmnelf016,4,125,-0.23732909014737888,-0.3588778151792778,-0.0999841935652294,-0.11215697479819944,-0.32648992798793053,-0.14012347488768112
dmnelf1001,1,125,0.11056841715775001,0.07029166924160533,-0.030080534004836987,0.1065804046704379,0.04300253923636352,-0.025802130032924395
dmnelf1001,2,125,0.173301133953298,0.2353915485393133,0.16290480989813,0.22239363809025345,0.28501560214802274,0.16898872204790305
dmnelf1001,3,125,-0.10536869568605538,-0.028993538446157062,0.08176814638663353,-0.0699522301962497,0.029768189290448593,0.1026426250974506
dmnelf1001,4,125,0.25990105571966027,0.07661927883354151,-0.11594983807015556,0.3262276611139223,0.06469749659775331,-0.12953431665221538
dmnelf1002,1,125,-0.17139647828567176,-0.1085918960658398,0.04234917156490575,0.10208015115913709,0.1794004501964827,0.14852032895546305
dmnelf1002,2,125,-0.10426083193155947,-0.18672234044156236,-0.1769038273221512,0.1007559338845722,-0.06140280351639999,-0.11942506296005087
dmnelf1002,3,125,0.1564784196944883,0.15418856277041934,0.06406807158851169,0.2422781779505952,0.2689299626415115,0.05808226987902667
dmnelf1002,4,125,-0.15533635521681327,-0.17159467698906097,-0.12739712474498724,-0.03595702360438205,-0.07838978983204033,-0.05806933273748635
dmnelf1003,1,125,0.029998760541904937,0.18045030231072948,0.1904965756089413,-0.04741879429479555,0.17335440486652867,0.21489604450170738
