subject,region,lag_sec,lag_tr,r,n_runs,n_tr_total
dmnelf009,DMN,4.0,3,0.01783677637683248,2,694
dmnelf009,DMN,6.0,5,0.03583205256453789,2,690
dmnelf009,DMN,8.0,7,-0.0015854757152374882,2,686
dmnelf009,DMN,10.0,8,-0.006005405071303697,2,684
dmnelf009,CEN,-10.0,-8,-0.0980305966448501,2,684
dmnelf009,CEN,-8.0,-7,-0.05213917538651179,2,686
dmnelf009,CEN,-6.0,-5,-0.07090061707601486,2,690
dmnelf009,CEN,-4.0,-3,-0.03591903297095034,2,694
dmnelf009,CEN,-2.0,-2,-0.048683181999823466,2,696
dmnelf009,CEN,0.0,0,-0.050170117977806586,2,700
dmnelf009,CEN,2.0,2,-0.03707725692928124,2,696
dmnelf009,CEN,4.0,3,-0.07914484867506177,2,694
dmnelf009,CEN,6.0,5,-0.047531763289609875,2,690
dmnelf009,CEN,8.0,7,-0.07501664015391966,2,686
dmnelf009,CEN,10.0,8,-0.07616643272888557,2,684
dmnelf010,DMN,-10.0,-8,0.010385010430541476,2,684
dmnelf010,DMN,-8.0,-7,-0.007053991390488417,2,686
dmnelf010,DMN,-6.0,-5,0.025038329378976786,2,690
dmnelf010,DMN,-4.0,-3,0.08947630278252923,2,694
dmnelf010,DMN,-2.0,-2,0.09535602626431573,2,696
dmnelf010,DMN,0.0,0,0.09265934508456809,2,700
dmnelf010,DMN,2.0,2,0.07232320982933128,2,696
dmnelf010,DMN,4.0,3,0.08309935986768584,2,694
dmnelf010,DMN,6.0,5,0.041012670449699376,2,690
dmnelf010,DMN,8.0,7,0.022762244939947572,2,686
dmnelf010,DMN,10.0,8,0.004387595354781442,2,684
dmnelf010,CEN,-10.0,-8,0.046898527909277204,2,684
dmnelf010,CEN,-8.0,-7,0.02129726742452688,2,686
dmnelf010,CEN,-6.0,-5,0.0016699111169740505,2,690
dmnelf010,CEN,-4.0,-3,0.021508708331747645,2,694
dmnelf010,CEN,-2.0,-2,0.0008166069473247784,2,696
dmnelf010,CEN,0.0,0,-0.011878370317924731,2,700
dmnelf010,CEN,2.0,2,-0.011883137850325652,2,696
dmnelf010,CEN,4.0,3,-0.008599172252863618,2,694
dmnelf010,CEN,6.0,5,-0.05105311915666781,2,690
dmnelf010,CEN,8.0,7,-0.04465403906182213,2,686
dmnelf010,CEN,10.0,8,-0.030145710014898866,2,684
dmnelf011,DMN,-10.0,-8,-0.004024196738899632,2,684
dmnelf011,DMN,-8.0,-7,0.016638690658710015,2,686
dmnelf011,DMN,-6.0,-5,-0.010000974769585764,2,690
dmnelf011,DMN,-4.0,-3,-0.0025364707727293947,2,694
dmnelf011,DMN,-2.0,-2,-0.0036959024793699288,2,696
dmnelf011,DMN,0.0,0,0.011214106879785026,2,700
dmnelf011,DMN,2.0,2,0.0017114843532322636,2,696
dmnelf011,DMN,4.0,3,-0.006184970082139449,2,694
dmnelf011,DMN,6.0,5,-0.00324739340062559,2,690
dmnelf011,DMN,8.0,7,-0.0006672195532452272,2,686
dmnelf011,DMN,10.0,8,-0.015006960310346262,2,684
dmnelf011,CEN,-10.0,-8,-0.04422054066411031,2,684
dmnelf011,CEN,-8.0,-7,-0.0037120730687309864,2,686
dmnelf011,CEN,-6.0,-5,0.007539805821560637,2,690
dmnelf011,CEN,-4.0,-3,0.020881114545980906,2,694
dmnelf011,CEN,-2.0,-2,0.01007818621624744,2,696
dmnelf011,CEN,0.0,0,0.027788271210456846,2,700
dmnelf011,CEN,2.0,2,0.03078959919922149,2,696
dmnelf011,CEN,4.0,3,0.029543709778323757,2,694
dmnelf011,CEN,6.0,5,0.021042691976034512,2,690
dmnelf011,CEN,8.0,7,0.02048627146264619,2,686
dmnelf011,CEN,10.0,8,0.023447661047843415,2,684
dmnelf012,DMN,-10.0,-8,0.036520256719406924,2,684
dmnelf012,DMN,-8.0,-7,0.03047212420809752,2,686
dmnelf012,DMN,-6.0,-5,-0.015060504775892603,2,690
dmnelf012,DMN,-4.0,-3,-0.0065460072095071134,2,694
dmnelf012,DMN,-2.0,-2,-0.0273185264057018,2,696
dmnelf012,DMN,0.0,0,-0.011217543826842912,2,700
dmnelf012,DMN,2.0,2,0.006142922259412067,2,696
dmnelf012,DMN,4.0,3,0.011157224386148452,2,694
dmnelf012,DMN,6.0,5,-0.007416913385825325,2,690
dmnelf012,DMN,8.0,7,-0.022662736202471712,2,686
dmnelf012,DMN,10.0,8,-0.020885104221272925,2,684
dmnelf012,CEN,-10.0,-8,0.027632143248897872,2,684
dmnelf012,CEN,-8.0,-7,0.04181830533572667,2,686
dmnelf012,CEN,-6.0,-5,0.03307651359722961,2,690
dmnelf012,CEN,-4.0,-3,0.06836398088334864,2,694
dmnelf012,CEN,-2.0,-2,0.051338146497333016,2,696
dmnelf012,CEN,0.0,0,0.06388119697766294,2,700
dmnelf012,CEN,2.0,2,0.049152872595312494,2,696
dmnelf012,CEN,4.0,3,0.027794678147269877,2,694
dmnelf012,CEN,6.0,5,-0.030552143326049493,2,690
dmnelf012,CEN,8.0,7,-0.044168746858919306,2,686
dmnelf012,CEN,10.0,8,-0.03230757077019498,2,684
dmnelf013,DMN,-10.0,-8,0.03960264612038628,2,684
dmnelf013,DMN,-8.0,-7,0.01575865367020021,2,686
dmnelf013,DMN,-6.0,-5,-0.11975751846506202,2,690
dmnelf013,DMN,-4.0,-3,-0.09045015424282002,2,694
dmnelf013,DMN,-2.0,-2,-0.030230148141684978,2,696
dmnelf013,DMN,0.0,0,-0.07096094472440365,2,700
dmnelf013,DMN,2.0,2,-0.05194354850759754,2,696
dmnelf013,DMN,4.0,3,-0.09275661595654824,2,694
dmnelf013,DMN,6.0,5,-0.01551823159916473,2,690
dmnelf013,DMN,8.0,7,-0.04725278045708471,2,686
dmnelf013,DMN,10.0,8,-0.06188118331804644,2,684
dmnelf013,CEN,-10.0,-8,0.01607913069828542,2,684
dmnelf013,CEN,-8.0,-7,0.0019784612628473467,2,686
dmnelf013,CEN,-6.0,-5,-0.09683613703017148,2,690
dmnelf013,CEN,-4.0,-3,-0.0907088659998375,2,694
dmnelf013,CEN,-2.0,-2,-0.0647495588125298,2,696
dmnelf013,CEN,0.0,0,-0.11508729822401435,2,700
dmnelf013,CEN,2.0,2,-0.10960525751202965,2,696
dmnelf013,CEN,4.0,3,-0.08953640046492164,2,694
dmnelf013,CEN,6.0,5,-0.03139471577312606,2,690
dmnelf013,CEN,8.0,7,-0.053813004452162576,2,686
dmnelf013,CEN,10.0,8,-0.03341209345434865,2,684
dmnelf014,DMN,-10.0,-8,0.008747848015792134,2,684
dmnelf014,DMN,-8.0,-7,-0.003994930366046377,2,686
dmnelf014,DMN,-6.0,-5,-0.020100733880640036,2,690
dmnelf014,DMN,-4.0,-3,-0.0019511494000441483,2,694
dmnelf014,DMN,-2.0,-2,0.024946648701153856,2,696
dmnelf014,DMN,0.0,0,0.04504459874434991,2,700
dmnelf014,DMN,2.0,2,0.01878994924392461,2,696
dmnelf014,DMN,4.0,3,-0.037132438718119956,2,694
dmnelf014,DMN,6.0,5,0.0796974994364933,2,690
dmnelf014,DMN,8.0,7,0.059975868713607286,2,686
dmnelf014,DMN,10.0,8,0.08629089282419708,2,684
dmnelf014,CEN,-10.0,-8,0.021282494073953055,2,684
dmnelf014,CEN,-8.0,-7,0.0073761102736826165,2,686
dmnelf014,CEN,-6.0,-5,-0.040368925579429546,2,690
dmnelf014,CEN,-4.0,-3,-0.03229335436234638,2,694
dmnelf014,CEN,-2.0,-2,0.009130037145592552,2,696
dmnelf014,CEN,0.0,0,0.013694828240971792,2,700
dmnelf014,CEN,2.0,2,-0.024307565021586302,2,696
dmnelf014,CEN,4.0,3,-0.0910692058376977,2,694
dmnelf014,CEN,6.0,5,0.029999581508130188,2,690
dmnelf014,CEN,8.0,7,0.016690445564883062,2,686
dmnelf014,CEN,10.0,8,0.0641633777868381,2,684
dmnelf015,DMN,-10.0,-8,0.0037053925005430784,2,684
dmnelf015,DMN,-8.0,-7,-0.012372455763837798,2,686
dmnelf015,DMN,-6.0,-5,-0.01622778013020354,2,690
dmnelf015,DMN,-4.0,-3,0.00870820043725577,2,694
dmnelf015,DMN,-2.0,-2,0.041735974443878616,2,696
dmnelf015,DMN,0.0,0,0.08746737574938204,2,700
dmnelf015,DMN,2.0,2,0.1361292320364309,2,696
dmnelf015,DMN,4.0,3,0.14066282713411152,2,694
dmnelf015,DMN,6.0,5,0.084287668617775,2,690
