cohort,subject,target,method,electrode,n_trs,r
rtBPD,rtbpd009,GSR_DMN,HRF,Cz,750,0.06431889904371493
rtBPD,rtbpd010,GSR_DMN,HRF,Cz,750,0.1260611616440392
rtBPD,rtbpd011,GSR_DMN,HRF,Cz,750,0.023831472405861604
rtBPD,rtbpd012,GSR_DMN,HRF,Cz,750,-0.035499600125416704
rtBPD,rtbpd013,GSR_DMN,HRF,Cz,750,-0.12684748789726832
rtBPD,rtbpd015,GSR_DMN,HRF,Cz,750,-0.154966224566759
rtBPD,rtbpd018,GSR_DMN,HRF,Cz,750,-0.10340337725387198
rtBPD,rtbpd020,GSR_DMN,HRF,Cz,750,-0.008970328352026005
rtBPD,rtbpd021,GSR_DMN,HRF,Cz,750,0.09106125241418953
rtBPD,rtbpd022,GSR_DMN,HRF,Cz,600,0.0256451319693899
rtBPD,rtbpd024,GSR_DMN,HRF,Cz,750,0.08407671921783515
rtBPD,rtbpd026,GSR_DMN,HRF,Cz,750,0.04678186791798233
rtBPD,rtbpd030,GSR_DMN,HRF,Cz,750,-0.06121479460972109
rtBPD,rtbpd034,GSR_DMN,HRF,Cz,750,-0.06167284589776671
rtBPD,rtbpd038,GSR_DMN,HRF,Cz,750,0.11408018178397832
rtBPD,rtbpd040,GSR_DMN,HRF,Cz,750,0.056467550074683584
rtBPD,rtbpd002,GSR_DMN,TA,Cz,750,0.10965764215777743
rtBPD,rtbpd003,GSR_DMN,TA,Cz,750,0.1678210787411274
rtBPD,rtbpd004,GSR_DMN,TA,Cz,600,0.15556281352425944
rtBPD,rtbpd009,GSR_DMN,TA,Cz,750,0.1410265753915372
rtBPD,rtbpd010,GSR_DMN,TA,Cz,750,0.0851197786166319
rtBPD,rtbpd011,GSR_DMN,TA,Cz,750,-0.05453364653756675
rtBPD,rtbpd012,GSR_DMN,TA,Cz,750,0.047415952040043376
rtBPD,rtbpd013,GSR_DMN,TA,Cz,750,-0.20232063827187782
rtBPD,rtbpd015,GSR_DMN,TA,Cz,750,0.20211465031095555
rtBPD,rtbpd018,GSR_DMN,TA,Cz,750,-0.14303210833564886
rtBPD,rtbpd020,GSR_DMN,TA,Cz,750,-0.002301298913594164
rtBPD,rtbpd021,GSR_DMN,TA,Cz,750,0.016392100009064714
rtBPD,rtbpd022,GSR_DMN,TA,Cz,600,0.06543166557684252
rtBPD,rtbpd024,GSR_DMN,TA,Cz,750,-0.03813995341568389
rtBPD,rtbpd026,GSR_DMN,TA,Cz,750,0.09922407691959076
rtBPD,rtbpd030,GSR_DMN,TA,Cz,750,-0.1440942996259261
rtBPD,rtbpd034,GSR_DMN,TA,Cz,750,-0.05152582281497845
rtBPD,rtbpd038,GSR_DMN,TA,Cz,750,-0.07819645739962626
rtBPD,rtbpd040,GSR_DMN,TA,Cz,750,-0.023322494240056956
rtBPD,rtbpd002,GSR_CEN,EFP,Pz,700,0.4290532920240083
rtBPD,rtbpd003,GSR_CEN,EFP,Pz,700,0.06625588669234735
rtBPD,rtbpd004,GSR_CEN,EFP,Pz,560,0.05072023582360303
rtBPD,rtbpd009,GSR_CEN,EFP,Pz,700,0.08027633433238836
rtBPD,rtbpd010,GSR_CEN,EFP,Pz,700,0.22163217549008493
rtBPD,rtbpd011,GSR_CEN,EFP,Pz,700,0.11529897775253266
rtBPD,rtbpd012,GSR_CEN,EFP,Pz,700,-0.14365067013784552
rtBPD,rtbpd013,GSR_CEN,EFP,Pz,700,0.16718509090582823
rtBPD,rtbpd015,GSR_CEN,EFP,Pz,700,0.07003298187937904
rtBPD,rtbpd018,GSR_CEN,EFP,Pz,700,-0.06816114519126033
rtBPD,rtbpd020,GSR_CEN,EFP,Pz,700,0.16249865311599507
rtBPD,rtbpd021,GSR_CEN,EFP,Pz,700,0.007429066152506393
rtBPD,rtbpd022,GSR_CEN,EFP,Pz,560,0.13264251625674645
rtBPD,rtbpd024,GSR_CEN,EFP,Pz,700,0.2377823208538412
rtBPD,rtbpd026,GSR_CEN,EFP,Pz,700,0.05661624717211956
rtBPD,rtbpd030,GSR_CEN,EFP,Pz,700,0.35052383210267035
rtBPD,rtbpd034,GSR_CEN,EFP,Pz,700,0.1623282686873359
rtBPD,rtbpd038,GSR_CEN,EFP,Pz,700,0.04666495291056158
rtBPD,rtbpd040,GSR_CEN,EFP,Pz,700,-0.32326898645849206
rtBPD,rtbpd002,GSR_CEN,HRF,Pz,750,0.2618685943386192
rtBPD,rtbpd003,GSR_CEN,HRF,Pz,750,0.05269448829517414
rtBPD,rtbpd004,GSR_CEN,HRF,Pz,600,0.12806178724180525
rtBPD,rtbpd009,GSR_CEN,HRF,Pz,750,0.0951158488994641
rtBPD,rtbpd010,GSR_CEN,HRF,Pz,750,0.12898437360987353
rtBPD,rtbpd011,GSR_CEN,HRF,Pz,750,0.2392600359624158
rtBPD,rtbpd012,GSR_CEN,HRF,Pz,750,-0.14086676008846044
rtBPD,rtbpd013,GSR_CEN,HRF,Pz,750,0.12058520112920215
rtBPD,rtbpd015,GSR_CEN,HRF,Pz,750,0.03892706713624597
rtBPD,rtbpd018,GSR_CEN,HRF,Pz,750,-0.18159674372691592
rtBPD,rtbpd020,GSR_CEN,HRF,Pz,750,-0.13099288619124108
rtBPD,rtbpd021,GSR_CEN,HRF,Pz,750,-0.06327809020756579
rtBPD,rtbpd022,GSR_CEN,HRF,Pz,600,0.08541998845101217
rtBPD,rtbpd024,GSR_CEN,HRF,Pz,750,0.13198755255005182
rtBPD,rtbpd026,GSR_CEN,HRF,Pz,750,-0.12329169671113997
rtBPD,rtbpd030,GSR_CEN,HRF,Pz,750,-0.07309667327742188
rtBPD,rtbpd034,GSR_CEN,HRF,Pz,750,-0.09287109243314913
rtBPD,rtbpd038,GSR_CEN,HRF,Pz,750,0.003983926150575995
rtBPD,rtbpd040,GSR_CEN,HRF,Pz,750,-0.22119713818312442
rtBPD,rtbpd002,GSR_CEN,TA,Pz,750,-0.14443179980794402
rtBPD,rtbpd003,GSR_CEN,TA,Pz,750,0.11764484949837652
rtBPD,rtbpd004,GSR_CEN,TA,Pz,600,-0.032197164241088615
rtBPD,rtbpd009,GSR_CEN,TA,Pz,750,0.054307175992117415
rtBPD,rtbpd010,GSR_CEN,TA,Pz,750,0.041402641375550275
rtBPD,rtbpd011,GSR_CEN,TA,Pz,750,-0.01993103369677044
rtBPD,rtbpd012,GSR_CEN,TA,Pz,750,0.054686237900141536
rtBPD,rtbpd013,GSR_CEN,TA,Pz,750,0.02793830598652813
rtBPD,rtbpd015,GSR_CEN,TA,Pz,750,0.07744907081402379
rtBPD,rtbpd018,GSR_CEN,TA,Pz,750,-0.19304718507954358
rtBPD,rtbpd020,GSR_CEN,TA,Pz,750,-0.2548383844374295
rtBPD,rtbpd021,GSR_CEN,TA,Pz,750,0.22770664056153603
rtBPD,rtbpd022,GSR_CEN,TA,Pz,600,-0.11452711850711747
rtBPD,rtbpd024,GSR_CEN,TA,Pz,750,0.15431196860898191
rtBPD,rtbpd026,GSR_CEN,TA,Pz,750,0.02961062719647929
rtBPD,rtbpd030,GSR_CEN,TA,Pz,750,0.23637392194217255
rtBPD,rtbpd034,GSR_CEN,TA,Pz,750,-0.07848735162297879
rtBPD,rtbpd038,GSR_CEN,TA,Pz,750,-0.12563358842680397
rtBPD,rtbpd040,GSR_CEN,TA,Pz,750,-0.21835161996915775
rtBPD,rtbpd002,GSR_PDA,EFP,Pz,700,0.35076762238176684
rtBPD,rtbpd003,GSR_PDA,EFP,Pz,700,-0.08591334345174603
rtBPD,rtbpd004,GSR_PDA,EFP,Pz,560,0.14693800189827008
rtBPD,rtbpd009,GSR_PDA,EFP,Pz,700,0.08302194093863188
rtBPD,rtbpd010,GSR_PDA,EFP,Pz,700,0.2925156595744339
rtBPD,rtbpd011,GSR_PDA,EFP,Pz,700,0.17390635047006262
rtBPD,rtbpd012,GSR_PDA,EFP,Pz,700,-0.13692872974803372
rtBPD,rtbpd013,GSR_PDA,EFP,Pz,700,-0.043707121205779166
rtBPD,rtbpd015,GSR_PDA,EFP,Pz,700,0.03946523830945412
rtBPD,rtbpd018,GSR_PDA,EFP,Pz,700,-0.016883430001315883
rtBPD,rtbpd020,GSR_PDA,EFP,Pz,700,0.17334000955394477
rtBPD,rtbpd021,GSR_PDA,EFP,Pz,700,0.02303992603783622
rtBPD,rtbpd022,GSR_PDA,EFP,Pz,560,0.09555511949387256
rtBPD,rtbpd024,GSR_PDA,EFP,Pz,700,0.24452190708784255
rtBPD,rtbpd026,GSR_PDA,EFP,Pz,700,0.11717996372422633
rtBPD,rtbpd030,GSR_PDA,EFP,Pz,700,-0.003324503948316629
rtBPD,rtbpd034,GSR_PDA,EFP,Pz,700,-0.020900450728701333
rtBPD,rtbpd038,GSR_PDA,EFP,Pz,700,0.12049115428244436
rtBPD,rtbpd040,GSR_PDA,EFP,Pz,700,-0.15894723520722523
rtBPD,rtbpd002,GSR_PDA,HRF,Pz,750,0.2543820701292215
rtBPD,rtbpd003,GSR_PDA,HRF,Pz,750,0.047275141281196115
rtBPD,rtbpd004,GSR_PDA,HRF,Pz,600,0.13360948351472376
rtBPD,rtbpd009,GSR_PDA,HRF,Pz,750,0.10735529541106655
rtBPD,rtbpd010,GSR_PDA,HRF,Pz,750,0.2478195586119901
rtBPD,rtbpd011,GSR_PDA,HRF,Pz,750,0.23655513103272435
rtBPD,rtbpd012,GSR_PDA,HRF,Pz,750,-0.10693731358634787
rtBPD,rtbpd013,GSR_PDA,HRF,Pz,750,0.05637064274948034
