cohort,subject,target,method,electrode,n_trs,r
rtBPD,rtbpd015,VIS,EFP,Oz,700,0.18015877960543153
rtBPD,rtbpd022,VIS,EFP,Oz,700,0.13361078228947743
rtBPD,rtbpd026,VIS,EFP,Oz,700,-0.0011913358238171742
rtBPD,rtbpd027,VIS,EFP,Oz,700,0.06631987859719533
rtBPD,rtbpd028,VIS,EFP,Oz,560,0.2262360527837192
rtBPD,rtbpd030,VIS,EFP,Oz,700,0.10424806677706111
rtBPD,rtbpd002,VIS,HRF,Oz,450,0.14071867728816542
rtBPD,rtbpd003,VIS,HRF,Oz,750,0.01414347268500106
rtBPD,rtbpd009,VIS,HRF,Oz,750,-0.0563174107149518
rtBPD,rtbpd010,VIS,HRF,Oz,750,0.09466244385463676
rtBPD,rtbpd011,VIS,HRF,Oz,600,0.018432278498962666
rtBPD,rtbpd015,VIS,HRF,Oz,750,0.2420782958251447
rtBPD,rtbpd022,VIS,HRF,Oz,750,0.0939932022546599
rtBPD,rtbpd026,VIS,HRF,Oz,750,0.21053223562363838
rtBPD,rtbpd027,VIS,HRF,Oz,750,0.13359726222269586
rtBPD,rtbpd028,VIS,HRF,Oz,600,0.23173720800504666
rtBPD,rtbpd030,VIS,HRF,Oz,750,0.11449949109207949
rtBPD,rtbpd002,VIS,TA,Oz,450,0.01094284214434674
rtBPD,rtbpd003,VIS,TA,Oz,750,0.05832909467024244
rtBPD,rtbpd009,VIS,TA,Oz,750,-0.038436294242585295
rtBPD,rtbpd010,VIS,TA,Oz,750,-0.031255561848611314
rtBPD,rtbpd011,VIS,TA,Oz,600,-0.09050684608107117
rtBPD,rtbpd015,VIS,TA,Oz,750,-0.16775889721590503
rtBPD,rtbpd022,VIS,TA,Oz,750,-0.06708218207406018
rtBPD,rtbpd026,VIS,TA,Oz,750,0.25388578144870566
rtBPD,rtbpd027,VIS,TA,Oz,750,-0.012540648081375649
rtBPD,rtbpd028,VIS,TA,Oz,600,-0.22611888589552082
rtBPD,rtbpd030,VIS,TA,Oz,750,-0.1631660732398217
