neural,clinical,n,r,p
fc_dmn_cen_pers_delta,PANAS trait positive affect (10-50),10,-0.1933233840970317,0.5925590735049916
DMN_occurrence_hz_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,-0.19248755367708434,0.5941908379680231
fc_dmn_cen_difumo_delta,PANAS trait positive affect (10-50) [resid],10,-0.19053295332345158,0.5980131186103911
theta_plv_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,0.18926156497196697,0.6005041249455862
DMN_coverage_pct_delta,PANAS trait positive affect (10-50),10,0.18925403528431065,0.6005188888554739
theta_plv_delta,PANAS trait positive affect (10-50) [resid],10,0.18794663731197606,0.6030843634675294
CEN_occurrence_hz_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,-0.18664886930669672,0.6056348220881266
fc_dmn_cen_difumo_delta,PAI-BOR total (0-72),10,-0.17964548227316335,0.6194640904162357
beta_plv_delta,PANAS trait negative affect (10-50) [resid],10,0.17608491472350998,0.6265367364556533
fc_within_dmn_pers_delta,PAI-BOR total (0-72) [resid],10,-0.17269860690561117,0.6332887672475298
fc_dmn_cen_pers_delta,PANAS trait negative affect (10-50),10,0.166842354665771,0.6450231687217837
fc_dmn_cen_difumo_delta,PAI-BOR total (0-72) [resid],10,-0.16348254803094325,0.6517875268203076
alpha_plv_delta,PAI-BOR total (0-72) [resid],10,0.16211581535509328,0.6545457826108873
delta_plv_delta,PANAS trait positive affect (10-50) [resid],10,0.16065310324649665,0.6575019121082132
theta_power_delta,PAI-BOR total (0-72),10,-0.1602108352561625,0.6583965767707713
CEN_coverage_pct_delta,PANAS trait positive affect (10-50) [resid],10,0.15670044709834102,0.6655115166879263
fc_within_dmn_pers_delta,PAI-BOR total (0-72),10,-0.15351878811346004,0.671981026486533
fc_acc_pcc_delta,PANAS trait negative affect (10-50) [resid],10,0.15085221857504438,0.6774181599637774
fc_within_cen_pers_delta,PHQ-9 total (0-27) [resid],10,-0.14983476862621878,0.6794962951478523
DMN_duration_ms_delta,PANAS trait negative affect (10-50),10,0.14793070698451594,0.6833905467630058
alpha_power_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,0.1460530766337855,0.6872373353892999
fc_within_cen_pers_delta,PANAS trait negative affect (10-50) [resid],10,-0.14602309511974793,0.6872988126177288
alpha_plv_delta,PAI-BOR total (0-72),10,0.14591496775162555,0.6875205419732351
CEN_duration_ms_delta,PAI-BOR total (0-72) [resid],10,-0.14538861126758695,0.688600211059611
CEN_duration_ms_delta,PAI-BOR total (0-72),10,-0.14525735432180464,0.6888695259451327
DMN_gev_pct_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,-0.14407812107036222,0.6912905021744317
theta_power_delta,PAI-BOR total (0-72) [resid],10,-0.1439614092010641,0.6915302501113011
alpha_plv_delta,PANAS trait positive affect (10-50),10,0.1430257657090882,0.6934531267840698
gamma_plv_delta,"ZAN-BPD-SR total (8 items, 0-32) [resid]",10,0.14147010081909947,0.696653718877875
fc_dmn_cen_pers_delta,PANAS trait negative affect (10-50) [resid],10,0.13535373993056118,0.709278815068789
fc_within_cen_difumo_delta,PHQ-9 total (0-27),10,0.13505362229956364,0.7098999735670155
fc_within_cen_pers_delta,PHQ-9 total (0-27),10,-0.12987924097175318,0.7206334059121471
DMN_duration_ms_delta,PANAS trait negative affect (10-50) [resid],10,0.1256249363587097,0.7294914026106594
fc_mpfc_pcc_delta,PANAS trait positive affect (10-50),10,-0.12235300517861508,0.7363236878094199
delta_power_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,-0.12195918985686983,0.7371471665012788
DMN_coverage_pct_delta,PANAS trait negative affect (10-50),10,-0.11958899629957846,0.7421083692137459
fc_within_cen_pers_delta,PANAS trait positive affect (10-50) [resid],10,0.11770783708284326,0.7460520490773075
DMN_coverage_pct_delta,PANAS trait negative affect (10-50) [resid],10,-0.11620902289118201,0.7491979866621334
beta_plv_delta,PANAS trait negative affect (10-50),10,0.11619194540868462,0.7492338507515119
fc_within_cen_pers_delta,PANAS trait negative affect (10-50),10,-0.11001792494668715,0.7622276810588486
fc_within_cen_difumo_delta,PAI-BOR total (0-72),10,-0.10528464337276755,0.7722258629119765
gamma_plv_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,-0.10091354524136606,0.7814859182777117
fc_acc_pcc_delta,PAI-BOR total (0-72) [resid],10,-0.09367315211156721,0.7968785489885316
delta_plv_delta,"ZAN-BPD-SR total (8 items, 0-32)",10,0.09288119905857162,0.7985661194743594
beta_plv_delta,PANAS trait positive affect (10-50),10,0.09029693792797658,0.8040781084396913
