subject,run,condition,band,plv
sub-rtbpd021,03,post,delta,0.4532
sub-rtbpd021,03,post,theta,0.3976
sub-rtbpd021,03,post,alpha,0.38659
sub-rtbpd021,03,post,beta,0.34171
sub-rtbpd021,03,post,gamma,0.33
sub-rtbpd021,04,post,delta,0.44639
sub-rtbpd021,04,post,theta,0.48186
sub-rtbpd021,04,post,alpha,0.46867
sub-rtbpd021,04,post,beta,0.42454
sub-rtbpd021,04,post,gamma,0.39125
sub-rtbpd024,01,pre,delta,0.36406
sub-rtbpd024,01,pre,theta,0.35462
sub-rtbpd024,01,pre,alpha,0.38941
sub-rtbpd024,01,pre,beta,0.35059
sub-rtbpd024,01,pre,gamma,0.32636
sub-rtbpd024,02,pre,delta,0.39445
sub-rtbpd024,02,pre,theta,0.38907
sub-rtbpd024,02,pre,alpha,0.35763
sub-rtbpd024,02,pre,beta,0.34254
sub-rtbpd024,02,pre,gamma,0.34196
sub-rtbpd024,03,post,delta,0.38059
sub-rtbpd024,03,post,theta,0.4194
sub-rtbpd024,03,post,alpha,0.38695
sub-rtbpd024,03,post,beta,0.38602
sub-rtbpd024,03,post,gamma,0.32051
sub-rtbpd024,04,post,delta,0.38102
sub-rtbpd024,04,post,theta,0.43517
sub-rtbpd024,04,post,alpha,0.38992
sub-rtbpd024,04,post,beta,0.36109
sub-rtbpd024,04,post,gamma,0.30293
sub-rtbpd030,01,pre,delta,0.59232
sub-rtbpd030,01,pre,theta,0.72693
sub-rtbpd030,01,pre,alpha,0.44853
sub-rtbpd030,01,pre,beta,0.41777
sub-rtbpd030,01,pre,gamma,0.35693
sub-rtbpd030,02,pre,delta,0.57128
sub-rtbpd030,02,pre,theta,0.60135
sub-rtbpd030,02,pre,alpha,0.41145
sub-rtbpd030,02,pre,beta,0.36369
sub-rtbpd030,02,pre,gamma,0.35019
sub-rtbpd030,03,post,delta,0.58442
sub-rtbpd030,03,post,theta,0.68803
sub-rtbpd030,03,post,alpha,0.44198
sub-rtbpd030,03,post,beta,0.425
sub-rtbpd030,03,post,gamma,0.47294
sub-rtbpd030,04,post,delta,0.55798
sub-rtbpd030,04,post,theta,0.63067
sub-rtbpd030,04,post,alpha,0.43585
sub-rtbpd030,04,post,beta,0.41561
sub-rtbpd030,04,post,gamma,0.46045
sub-rtbpd038,01,pre,delta,0.3093
sub-rtbpd038,01,pre,theta,0.322
sub-rtbpd038,01,pre,alpha,0.3909
sub-rtbpd038,01,pre,beta,0.31647
sub-rtbpd038,01,pre,gamma,0.31487
sub-rtbpd038,02,pre,delta,0.31277
sub-rtbpd038,02,pre,theta,0.31871
sub-rtbpd038,02,pre,alpha,0.41683
sub-rtbpd038,02,pre,beta,0.34324
sub-rtbpd038,02,pre,gamma,0.33976
sub-rtbpd038,03,post,delta,0.36636
sub-rtbpd038,03,post,theta,0.36882
sub-rtbpd038,03,post,alpha,0.44069
sub-rtbpd038,03,post,beta,0.39452
sub-rtbpd038,03,post,gamma,0.2808
sub-rtbpd038,04,post,delta,0.37911
sub-rtbpd038,04,post,theta,0.37982
sub-rtbpd038,04,post,alpha,0.43602
sub-rtbpd038,04,post,beta,0.40897
sub-rtbpd038,04,post,gamma,0.35326
sub-rtbpd040,01,pre,delta,0.41561
sub-rtbpd040,01,pre,theta,0.44875
sub-rtbpd040,01,pre,alpha,0.45594
sub-rtbpd040,01,pre,beta,0.41666
sub-rtbpd040,01,pre,gamma,0.41368
sub-rtbpd040,02,pre,delta,0.41877
sub-rtbpd040,02,pre,theta,0.46601
sub-rtbpd040,02,pre,alpha,0.44726
sub-rtbpd040,02,pre,beta,0.39618
sub-rtbpd040,02,pre,gamma,0.42963
sub-rtbpd040,03,post,delta,0.41018
sub-rtbpd040,03,post,theta,0.45428
sub-rtbpd040,03,post,alpha,0.50682
sub-rtbpd040,03,post,beta,0.43396
sub-rtbpd040,03,post,gamma,0.3966
sub-rtbpd040,04,post,delta,0.4092
sub-rtbpd040,04,post,theta,0.46317
sub-rtbpd040,04,post,alpha,0.5108
sub-rtbpd040,04,post,beta,0.43303
sub-rtbpd040,04,post,gamma,0.38094
sub-rtbpd001,01,pre,delta,0.41703
sub-rtbpd001,01,pre,theta,0.40168
sub-rtbpd001,01,pre,alpha,0.38805
sub-rtbpd001,01,pre,beta,0.39688
sub-rtbpd001,01,pre,gamma,0.38787
sub-rtbpd001,02,pre,delta,0.41192
sub-rtbpd001,02,pre,theta,0.42059
sub-rtbpd001,02,pre,alpha,0.42404
sub-rtbpd001,02,pre,beta,0.42512
sub-rtbpd001,02,pre,gamma,0.40523
sub-rtbpd001,03,post,delta,0.39492
sub-rtbpd001,03,post,theta,0.39723
sub-rtbpd001,03,post,alpha,0.42698
sub-rtbpd001,03,post,beta,0.38854
sub-rtbpd001,03,post,gamma,0.3689
sub-rtbpd001,04,post,delta,0.30145
sub-rtbpd001,04,post,theta,0.36239
sub-rtbpd001,04,post,alpha,0.33821
sub-rtbpd001,04,post,beta,0.32877
sub-rtbpd001,04,post,gamma,0.28855
sub-rtbpd022,01,pre,delta,0.47712
sub-rtbpd022,01,pre,theta,0.44547
sub-rtbpd022,01,pre,alpha,0.44638
sub-rtbpd022,01,pre,beta,0.36763
sub-rtbpd022,01,pre,gamma,0.3565
sub-rtbpd022,02,pre,delta,0.51193
sub-rtbpd022,02,pre,theta,0.51481
sub-rtbpd022,02,pre,alpha,0.40643
sub-rtbpd022,02,pre,beta,0.29717
sub-rtbpd022,02,pre,gamma,0.33373
sub-rtbpd022,04,post,delta,0.48503
sub-rtbpd022,04,post,theta,0.43814
sub-rtbpd022,04,post,alpha,0.4476
sub-rtbpd022,04,post,beta,0.34699
sub-rtbpd022,04,post,gamma,0.38738
sub-rtbpd026,02,pre,delta,0.23242
sub-rtbpd026,02,pre,theta,0.27705
sub-rtbpd026,02,pre,alpha,0.22491
sub-rtbpd026,02,pre,beta,0.28269
sub-rtbpd026,02,pre,gamma,0.28662
sub-rtbpd026,03,post,delta,0.20384
sub-rtbpd026,03,post,theta,0.29053
sub-rtbpd026,03,post,alpha,0.20433
sub-rtbpd026,03,post,beta,0.24105
sub-rtbpd026,03,post,gamma,0.25112
sub-rtbpd026,04,post,delta,0.25353
sub-rtbpd026,04,post,theta,0.33773
sub-rtbpd026,04,post,alpha,0.24442
sub-rtbpd026,04,post,beta,0.25482
sub-rtbpd026,04,post,gamma,0.25402
sub-rtbpd039,02,pre,delta,0.44586
sub-rtbpd039,02,pre,theta,0.43376
sub-rtbpd039,02,pre,alpha,0.44381
sub-rtbpd039,02,pre,beta,0.3462
sub-rtbpd039,02,pre,gamma,0.36421
sub-rtbpd039,03,post,delta,0.3902
sub-rtbpd039,03,post,theta,0.41589
sub-rtbpd039,03,post,alpha,0.44157
sub-rtbpd039,03,post,beta,0.37005
sub-rtbpd039,03,post,gamma,0.36275
sub-rtbpd039,04,post,delta,0.42965
sub-rtbpd039,04,post,theta,0.45166
sub-rtbpd039,04,post,alpha,0.46496
sub-rtbpd039,04,post,beta,0.3786
sub-rtbpd039,04,post,gamma,0.36034
sub-rtbpd045,01,pre,delta,0.41952
sub-rtbpd045,01,pre,theta,0.40502
sub-rtbpd045,01,pre,alpha,0.42429
sub-rtbpd045,01,pre,beta,0.39475
sub-rtbpd045,01,pre,gamma,0.40676
sub-rtbpd045,02,pre,delta,0.43396
sub-rtbpd045,02,pre,theta,0.44428
sub-rtbpd045,02,pre,alpha,0.41121
sub-rtbpd045,02,pre,beta,0.38827
sub-rtbpd045,02,pre,gamma,0.4542
sub-rtbpd045,03,post,delta,0.42686
sub-rtbpd045,03,post,theta,0.40993
sub-rtbpd045,03,post,alpha,0.43434
sub-rtbpd045,03,post,beta,0.4249
sub-rtbpd045,03,post,gamma,0.43068
sub-rtbpd045,04,post,delta,0.44382
sub-rtbpd045,04,post,theta,0.41322
sub-rtbpd045,04,post,alpha,0.40139
sub-rtbpd045,04,post,beta,0.36248
sub-rtbpd045,04,post,gamma,0.36961
