subject,run,condition,microstate,duration_ms,occurrence_hz,coverage_pct,gev_pct
sub-rtbpd015,01,pre,A,19.1,9.0882,17.358,7.721
sub-rtbpd015,02,pre,D,15.922,7.2359,11.521,4.247
sub-rtbpd015,02,pre,C,35.962,12.9394,46.533,45.167
sub-rtbpd015,02,pre,B,22.492,11.0005,24.742,16.941
sub-rtbpd015,02,pre,A,18.325,9.3881,17.204,7.15
sub-rtbpd015,03,post,D,18.142,13.4358,24.375,10.781
sub-rtbpd015,03,post,C,14.221,10.171,14.465,3.792
sub-rtbpd015,03,post,B,25.369,16.624,42.174,26.259
sub-rtbpd015,03,post,A,15.679,12.1099,18.987,5.712
sub-rtbpd015,04,post,D,16.347,11.2071,18.32,8.896
sub-rtbpd015,04,post,C,22.492,15.0216,33.786,20.221
sub-rtbpd015,04,post,B,18.809,12.8795,24.224,12.773
sub-rtbpd015,04,post,A,17.775,13.3159,23.669,14.744
sub-rtbpd018,01,pre,D,21.794,12.3631,26.944,21.949
sub-rtbpd018,01,pre,C,18.115,12.0066,21.75,9.646
sub-rtbpd018,01,pre,B,24.568,14.2054,34.9,32.289
sub-rtbpd018,01,pre,A,17.377,9.4414,16.406,7.031
sub-rtbpd018,02,pre,D,18.658,8.845,16.503,7.422
sub-rtbpd018,02,pre,C,27.883,11.9733,33.385,34.267
sub-rtbpd018,02,pre,B,27.673,12.0166,33.253,27.864
sub-rtbpd018,02,pre,A,18.434,9.1449,16.858,5.839
sub-rtbpd018,03,post,D,23.586,7.9289,18.701,9.567
sub-rtbpd018,03,post,C,30.992,10.4575,32.41,33.51
sub-rtbpd018,03,post,B,31.77,10.0677,31.985,24.646
sub-rtbpd018,03,post,A,22.343,7.5658,16.904,6.921
sub-rtbpd018,04,post,D,24.559,9.005,22.116,13.493
sub-rtbpd018,04,post,C,23.186,10.2543,23.775,16.462
sub-rtbpd018,04,post,B,32.123,11.0338,35.443,34.156
sub-rtbpd018,04,post,A,22.693,8.2254,18.666,8.392
sub-rtbpd020,01,pre,D,27.834,9.3781,26.103,8.099
sub-rtbpd020,01,pre,C,19.601,7.8556,15.398,4.85
sub-rtbpd020,01,pre,B,38.975,11.387,44.38,30.257
sub-rtbpd020,01,pre,A,19.52,7.2326,14.118,2.607
sub-rtbpd020,02,pre,D,35.29,10.4708,36.952,13.064
sub-rtbpd020,02,pre,C,18.09,6.5064,11.77,2.742
sub-rtbpd020,02,pre,B,35.414,11.0571,39.157,17.234
sub-rtbpd020,02,pre,A,18.543,6.5363,12.121,1.948
sub-rtbpd020,03,post,D,23.369,7.5791,17.711,5.725
sub-rtbpd020,03,post,C,30.989,10.6274,32.933,20.9
sub-rtbpd020,03,post,B,29.49,10.051,29.641,17.172
sub-rtbpd020,03,post,A,23.671,8.3287,19.715,6.915
sub-rtbpd020,04,post,D,26.501,10.4208,27.617,9.85
sub-rtbpd020,04,post,C,18.933,9.8512,18.652,7.091
