montage,n_ch,target,held_out,alpha,r
Fp2,1,DMN,dmnelf014,100.0,-0.057448917938358914
Fp2,1,DMN,dmnelf015,46.41588833612777,0.03445929434869526
Fp2,1,DMN,dmnelf016,100.0,0.015199918759242415
Fp2,1,DMN,dmnelf1001,100.0,-0.046727956736158205
Fp2,1,DMN,dmnelf1002,21544.346900318822,-0.013034112097378718
Fp2,1,DMN,dmnelf1003,100.0,0.10702091977514336
Fp2,1,PDA,dmnelf001,1.0,-0.036317275486115685
Fp2,1,PDA,dmnelf002,1.0,-0.004344395349936078
Fp2,1,PDA,dmnelf003,1.0,-0.13468504361218703
Fp2,1,PDA,dmnelf004,1.0,-0.09024990886798381
Fp2,1,PDA,dmnelf005,1.0,-0.0179506971832086
Fp2,1,PDA,dmnelf006,1.0,-0.061285132375640615
Fp2,1,PDA,dmnelf007,1.0,-0.08564078568357933
Fp2,1,PDA,dmnelf008,1.0,0.01310825323904756
Fp2,1,PDA,dmnelf009,1.0,0.025990558142559708
Fp2,1,PDA,dmnelf010,100000000.0,-0.16542165313855453
Fp2,1,PDA,dmnelf011,100000000.0,0.08117773451905662
Fp2,1,PDA,dmnelf012,1.0,0.026318317323793586
Fp2,1,PDA,dmnelf013,100000000.0,-0.2452261443053046
Fp2,1,PDA,dmnelf014,1.0,0.08298930429801614
Fp2,1,PDA,dmnelf015,1.0,-0.057713447536128955
Fp2,1,PDA,dmnelf016,1.0,-0.12051001757004387
Fp2,1,PDA,dmnelf1001,1.0,0.11040881549091686
Fp2,1,PDA,dmnelf1002,1.0,-0.217084036062831
Fp2,1,PDA,dmnelf1003,1.0,-0.09335468026098995
F3,1,CEN,dmnelf001,21544.346900318822,0.3333731871505367
F3,1,CEN,dmnelf002,21544.346900318822,0.19381981679403018
F3,1,CEN,dmnelf003,100000000.0,-0.11424842579263017
F3,1,CEN,dmnelf004,46415.888336127726,0.12486198968461619
F3,1,CEN,dmnelf005,21544.346900318822,0.2840588308919655
F3,1,CEN,dmnelf006,21544.346900318822,0.05810640167814224
F3,1,CEN,dmnelf007,21544.346900318822,0.16281226139967667
F3,1,CEN,dmnelf008,4641.588833612777,0.25369394007620133
F3,1,CEN,dmnelf009,21544.346900318822,0.15668129881578627
F3,1,CEN,dmnelf010,46415.888336127726,0.06862089830925307
F3,1,CEN,dmnelf011,4641.588833612777,0.2546335634410248
F3,1,CEN,dmnelf012,2154.4346900318824,0.08312903341161405
F3,1,CEN,dmnelf013,2154.4346900318824,0.13650606677085167
F3,1,CEN,dmnelf014,1000.0,0.04982000417707236
F3,1,CEN,dmnelf015,2154.4346900318824,0.25230619789524333
F3,1,CEN,dmnelf016,2154.4346900318824,0.10438519030032617
F3,1,CEN,dmnelf1001,1000.0,0.057547712879693666
F3,1,CEN,dmnelf1002,2154.4346900318824,-0.006560881561738582
F3,1,CEN,dmnelf1003,46415.888336127726,0.081646159769057
F3,1,DMN,dmnelf001,100000000.0,0.22980799506377556
F3,1,DMN,dmnelf002,100000000.0,0.17932052078383837
F3,1,DMN,dmnelf003,100000000.0,-0.04763200572580737
F3,1,DMN,dmnelf004,100000000.0,0.012870427469512669
F3,1,DMN,dmnelf005,100000000.0,0.14859508413197994
F3,1,DMN,dmnelf006,100000000.0,0.10227450253945562
F3,1,DMN,dmnelf007,100000000.0,0.04628783634530412
F3,1,DMN,dmnelf008,1000000.0,0.00878048835415507
F3,1,DMN,dmnelf009,100000000.0,-0.00833796529911376
F3,1,DMN,dmnelf010,100000.0,0.1873246752047326
F3,1,DMN,dmnelf011,46415.888336127726,0.17403250024686287
F3,1,DMN,dmnelf012,21544.346900318822,0.06319256827723808
F3,1,DMN,dmnelf013,215443.46900318822,0.03800066493984781
F3,1,DMN,dmnelf014,100000000.0,-0.23505200207905902
F3,1,DMN,dmnelf015,100000000.0,0.003787918229776216
F3,1,DMN,dmnelf016,100000000.0,0.09953200586434026
F3,1,DMN,dmnelf1001,100000000.0,0.07058365477062754
F3,1,DMN,dmnelf1002,100000000.0,0.07595082601633896
F3,1,DMN,dmnelf1003,100000000.0,0.10631125341554898
F3,1,PDA,dmnelf001,1.0,-0.05168156879332771
F3,1,PDA,dmnelf002,1.0,-0.05181514045809155
F3,1,PDA,dmnelf003,1.0,-0.12168427061451295
F3,1,PDA,dmnelf004,1.0,-0.19940471004638508
F3,1,PDA,dmnelf005,1.0,0.284008829632226
F3,1,PDA,dmnelf006,1.0,-0.06428334212644184
F3,1,PDA,dmnelf007,1.0,0.11704760081516843
F3,1,PDA,dmnelf008,1.0,-0.046444245225958525
F3,1,PDA,dmnelf009,1.0,-0.10311061791681612
F3,1,PDA,dmnelf010,1.0,-0.06452463304397432
F3,1,PDA,dmnelf011,1.0,0.16000025801822704
F3,1,PDA,dmnelf012,1.0,0.020113856043715475
F3,1,PDA,dmnelf013,1.0,-0.1608142748725888
F3,1,PDA,dmnelf014,1.0,0.16599686398001465
F3,1,PDA,dmnelf015,1.0,0.08656051188905307
F3,1,PDA,dmnelf016,1.0,-0.04557736411226318
F3,1,PDA,dmnelf1001,1.0,0.15836098800939494
F3,1,PDA,dmnelf1002,1.0,-0.12121289886561988
F3,1,PDA,dmnelf1003,1.0,0.1701847903903022
F4,1,CEN,dmnelf001,21544.346900318822,0.25220738902150275
F4,1,CEN,dmnelf002,4641.588833612777,0.15857100165054472
F4,1,CEN,dmnelf003,10000.0,-0.03448093046740445
F4,1,CEN,dmnelf004,4641.588833612777,0.1651584769343161
F4,1,CEN,dmnelf005,4641.588833612777,0.22589277874570993
F4,1,CEN,dmnelf006,21544.346900318822,0.11629433484773848
F4,1,CEN,dmnelf007,21544.346900318822,0.2790607856929485
F4,1,CEN,dmnelf008,10000.0,0.19114998380900178
F4,1,CEN,dmnelf009,21544.346900318822,0.11523934130093791
F4,1,CEN,dmnelf010,21544.346900318822,0.1138672371034428
F4,1,CEN,dmnelf011,21544.346900318822,0.2556201689936555
