montage,n_ch,target,held_out,alpha,r
epoc12_midline,15,DMN,dmnelf010,464158.8833612772,0.2203883518270848
epoc12_midline,15,DMN,dmnelf011,1000000.0,0.2817294448195663
epoc12_midline,15,DMN,dmnelf012,1000000.0,0.061512270701898616
epoc12_midline,15,DMN,dmnelf013,464158.8833612772,-0.008742881836226339
epoc12_midline,15,DMN,dmnelf014,1000000.0,-0.1847164263925779
epoc12_midline,15,DMN,dmnelf015,1000000.0,0.05732614070520884
epoc12_midline,15,DMN,dmnelf016,100000000.0,0.2822647401287231
epoc12_midline,15,DMN,dmnelf1001,2154.4346900318824,-0.056191800153589114
epoc12_midline,15,DMN,dmnelf1002,464158.8833612772,0.032685134794698076
epoc12_midline,15,DMN,dmnelf1003,100000000.0,0.15498227777110518
epoc12_midline,15,PDA,dmnelf001,2.154434690031884,0.11607531167822563
epoc12_midline,15,PDA,dmnelf002,4.641588833612778,-0.11607753539057947
epoc12_midline,15,PDA,dmnelf003,2.154434690031884,-0.16311797913357146
epoc12_midline,15,PDA,dmnelf004,4.641588833612778,-0.12239103298877069
epoc12_midline,15,PDA,dmnelf005,1.0,-0.013158240740604666
epoc12_midline,15,PDA,dmnelf006,1.0,-0.1847426580496425
epoc12_midline,15,PDA,dmnelf007,4.641588833612778,-0.2070545529236205
epoc12_midline,15,PDA,dmnelf008,10.0,-0.12200648745597703
epoc12_midline,15,PDA,dmnelf009,1.0,-0.17485951326215585
epoc12_midline,15,PDA,dmnelf010,1.0,0.1307142959644681
epoc12_midline,15,PDA,dmnelf011,1.0,0.2580578321747168
epoc12_midline,15,PDA,dmnelf012,1.0,0.13015582438669204
epoc12_midline,15,PDA,dmnelf013,1.0,-0.2020850779895061
epoc12_midline,15,PDA,dmnelf014,1.0,0.02370571821562998
epoc12_midline,15,PDA,dmnelf015,21.544346900318832,-0.03486735837300511
epoc12_midline,15,PDA,dmnelf016,4.641588833612778,-0.0740728695141191
epoc12_midline,15,PDA,dmnelf1001,10.0,0.02024377980915854
epoc12_midline,15,PDA,dmnelf1002,10.0,-0.03932427895151975
epoc12_midline,15,PDA,dmnelf1003,4.641588833612778,0.13104227677625555
cap31,31,CEN,dmnelf001,464158.8833612772,0.287619800804888
cap31,31,CEN,dmnelf002,215443.46900318822,0.2550136412642385
cap31,31,CEN,dmnelf003,215443.46900318822,-0.11041963475604079
cap31,31,CEN,dmnelf004,215443.46900318822,0.15028217720921594
cap31,31,CEN,dmnelf005,464158.8833612772,0.23235393057188317
cap31,31,CEN,dmnelf006,215443.46900318822,0.10515690585642241
cap31,31,CEN,dmnelf007,100000.0,0.20345444560805392
cap31,31,CEN,dmnelf008,100000.0,0.11430431584466434
cap31,31,CEN,dmnelf009,464158.8833612772,0.1474935334312234
cap31,31,CEN,dmnelf010,1000000.0,0.12157660120492189
cap31,31,CEN,dmnelf011,464158.8833612772,0.2693164279604619
cap31,31,CEN,dmnelf012,215443.46900318822,0.14822720952905152
cap31,31,CEN,dmnelf013,215443.46900318822,0.14123360633775128
cap31,31,CEN,dmnelf014,215443.46900318822,0.12654556286722166
cap31,31,CEN,dmnelf015,215443.46900318822,0.2772503603218512
cap31,31,CEN,dmnelf016,215443.46900318822,0.0926733789339985
cap31,31,CEN,dmnelf1001,464158.8833612772,0.1280293763863165
cap31,31,CEN,dmnelf1002,215443.46900318822,-0.034021675372528815
cap31,31,CEN,dmnelf1003,2154434.6900318824,0.09431962516584248
cap31,31,DMN,dmnelf001,100000000.0,0.1791159036951014
cap31,31,DMN,dmnelf002,100000000.0,0.2040449422345952
cap31,31,DMN,dmnelf003,100000000.0,-0.05438125677594825
cap31,31,DMN,dmnelf004,100000000.0,0.0341452526312432
cap31,31,DMN,dmnelf005,100000000.0,0.20721095613230478
cap31,31,DMN,dmnelf006,100000000.0,0.06324216173323188
