subject,run,condition,microstate,duration_ms,occurrence_hz,coverage_pct,gev_pct
sub-rtbpd010,04,post,DMN,14.535,4.1477,6.029,1.556
sub-rtbpd010,04,post,SOM,15.921,5.2604,8.375,3.211
sub-rtbpd010,04,post,VIS,22.843,8.9983,20.554,15.232
sub-rtbpd010,04,post,SAL,21.392,8.2554,17.66,12.905
sub-rtbpd011,01,pre,CEN,16.24,7.1593,11.627,6.971
sub-rtbpd011,01,pre,DANT,18.34,6.8562,12.574,5.227
sub-rtbpd011,01,pre,AUD,21.771,10.3642,22.564,17.106
sub-rtbpd011,01,pre,DMN,16.11,6.1332,9.88,3.207
sub-rtbpd011,01,pre,SOM,19.086,8.9283,17.04,9.669
sub-rtbpd011,01,pre,VIS,18.512,7.6657,14.191,9.297
sub-rtbpd011,01,pre,SAL,17.189,7.0527,12.123,6.649
sub-rtbpd011,02,pre,CEN,16.308,5.427,8.85,2.651
sub-rtbpd011,02,pre,DANT,21.431,7.0294,15.065,6.175
sub-rtbpd011,02,pre,AUD,21.667,8.2154,17.8,8.027
sub-rtbpd011,02,pre,DMN,14.669,3.3081,4.853,0.779
sub-rtbpd011,02,pre,SOM,17.646,5.7235,10.1,2.872
sub-rtbpd011,02,pre,VIS,31.857,9.8745,31.457,46.392
sub-rtbpd011,02,pre,SAL,18.517,6.4131,11.875,4.734
sub-rtbpd011,03,post,CEN,20.324,9.4314,19.168,17.466
sub-rtbpd011,03,post,DANT,16.917,6.0533,10.24,4.459
sub-rtbpd011,03,post,AUD,20.461,9.7146,19.877,15.336
sub-rtbpd011,03,post,DMN,14.629,4.2676,6.243,2.07
sub-rtbpd011,03,post,SOM,17.665,7.4791,13.212,6.971
sub-rtbpd011,03,post,VIS,17.464,7.7856,13.597,9.173
sub-rtbpd011,03,post,SAL,20.174,8.7551,17.663,12.986
sub-rtbpd011,04,post,CEN,20.856,8.6985,18.141,17.426
sub-rtbpd011,04,post,DANT,18.984,6.7962,12.902,6.977
sub-rtbpd011,04,post,AUD,21.282,9.1949,19.568,15.047
sub-rtbpd011,04,post,DMN,17.03,5.9733,10.172,2.833
sub-rtbpd011,04,post,SOM,16.636,6.2332,10.37,4.356
sub-rtbpd011,04,post,VIS,18.723,7.5891,14.209,8.616
sub-rtbpd011,04,post,SAL,20.054,7.2992,14.638,9.293
sub-rtbpd012,01,pre,CEN,30.56,10.6307,32.487,44.103
sub-rtbpd012,01,pre,DANT,15.222,3.9578,6.025,1.667
